;Mapudungun;Traduccion;Significado
83;tañi elelputu tañi fchakecheyem ;que lo había dejado los viejitos;1
84;pütacheyem noise veychi ngillatuwemu ;el anciano en ese espacio donde hace la seremonia\n;1
85;feypikefuy tañi ñukeyem ;así decía mi madre, \n;1
86;ngülol üyiw ta yenu tañi wentruyem ;Ngülol allá me llevaba mi esposo\n;1
87;kimlafin welu tañi aguelu tañi ñukeyem ;pero no lo conoce, mi abuelo y mi enfina madre\n;1
88;müley tati pikefenew feyta tañi ñukeyem ;eso hay me decía mi enfina madre\n;1
89;pikefenew tañi wentruyem pikefuy tañi ñukeyem ka ;me decía mi esposo, que decía su elfinada madre \n;1
90;may kimniefuy tañi ñukeyem ;si, conocía mi elfina madre\n;1
91;pikefuy tañi ñukeyem ;mi elfinada madre decia \n;1
92;feypikefuy tañi ñukeyem wülkefuy ;eso decía mi elfinada madre que daban\n;1
93;kom kimniefuy pikefuy tañi ñukeyem ;todo sabía, decia mi elfinada madre\n;1
94;tañi fütayem ta we kürengelu;cuando mi esposo casamos recien\n;1
95;tañi fütake cheyem tripay ;mi viejo raices salieron \n;1
96;ta chi fütra antigu machiyem ;ese era antigua machi\n;1
97;tami niengepafun pi tañi fütayem müten ;donde te tenía tu esposo\n;1
98;tañi fütayem am;con mi elfinado esposo \n;1
99;tañi fütayem ta ;mi elfinado esposo;1
100;tañi fütayem tati;a mi esposo\n;1
101;noise fey tati tañi wentruyem tati kutranlu ;cuando se enfermo mi elfinado esposo\n;1
102;pero inche tañi ñukeyem ta femlafuy ;pero mi finada madre no le había pasado eso \n;1
103;femuechi chumuechi tañi amun noise pu püñeñ wünemu ñai ñukeyem ;¿es así no?, se como se fueron mis hijos primero murió mi madre  ;1
104;ñukengefun tati ñami tañi ñukeyem ;yo tenía madre y la perdí\n;1
105;feyta feypingi malmekeñmangi tami ñukeyem elungi ta lawen;me dijeron que a mi madre le hicieron un mal, le dieron remedio\n;1
106;iñchemu doy inankülefuy reke ñukeyem ñami tañi ñuke nielan ñuke kuñifal ta iñche ;perdí a mi madre me quedé sola tenía menos edad  que yo\n;1
107;tranantukulewi  ngütantumu lay tañi ñukeyem ñami ;se quedó postrada en cama, así murió y perdí a mi madre.\n;1
108;kuyfi kuyfi feypi iñ ñukeyem petu kutranlay ;Antes que se enfermará me decía esto mi madre\n;1
109;feymu ngünenkalmangen ñukeyem pi ;hací  la engañaron a mi madre decía\n;1
110;puwün fey ngelay ñukeyem kintupufiñ ngelay noise ;llegue allá busque a mi madre y no la encontre\n;1
111;iñche fey kintupun pikefuy tañi ñukeyem ;Mi madre decía que fue a buscarlo \n;1
112;puün iñche nülapufiñ fülüntukunii foro tañi ñukeyem ;llegue yo abrí el  cajon y tiré los huesos de mi madre \n;1
113;tami ñukeyem anütripay tami ñukeyem wekun;su madre está afuera sentada.\n;1
114;femuechi ta lüfi ñi ruka tañi ñukeyem cheu ta ;así se incendió la casa de mi madre\n;1
115;müñalngi müten lefi tripay triltrangkiawi ñukeyem ;a pesar que lo ammarraron igual salía corriendo desnuda mi madre\n;1
116;femuechi ta güdenu  ñukeyem ñami ;de esa forma me rechazo mi madre y se perdió\n;1
117;malmekeñmanu iñ ñukeyem lay tañi lamuenem wüne pi;primero murió mi hermano y esta haciendo daño a mi  madre dijo. \n;1
118;femuechi ngünekalmangen ñukeyem ;Eso es lo que le hicieron a mi madre \n;1
119;müli ta dañukelu müli ta kalku pikefuy tañi ñukeyem femuechi ;hay personas que hacen el mal decía mi madre\n;1
120;adümngelan  illkuy iñ chawem illkuy tañi ñukeyem ;se enojó mi papa y mi mama porque no me supieron entender lo que tenía\n;1
121;epeke epeke küymikefun illkutuenu iñ ñukeyem ;mi madre se enojaba cuando casi entraba en trance.;1
122;chaditulkefenu iñ ñukeyem uh chadi trapi ;mi madre me daba sal con ají.\n;1
123;ñi abuelayem kay pikevuy;mi abuela tambien decia \n;1
124;ñi kureyem konukevuy;mi mujer le toco\n;1
125;ñi domoyem fey akutulu faw;mi mujer no llego aqui\n;1
126;maldina machiyem ;la machi Maldina \n;1
127;perdey ñi fütayem ;Perdió su esposo\n;1
128;tañi  füchakecheyem ;mis antepasados\n;1
129;inche ñi ñuke yem re mapuche dungukefulu kay;mi finada madre, si hablaba puro mapuche\n;1
130;ñi kude ñuke yem feyta fellentuy pu ñi lamuen em ;mi finada vieja madre esta creyó pues, es su hermana\n;1
131;pobre ñukeyem ;pobre mi finada madre \n;1
132;chew tañi ngillatupemum fütakecheyem spa;donde hacían ngüllatun anciano gente  \n;1
133;chumplu tañi pienu ñi ñukeyem ;que paso dijo mi madre \n;1
134;chachay chachay pikevun iñ malleyem ;Chachay, chachay le decíamos nuestros tío. \n;1
135;malleyem weyi kon tati ;mi tío .....................\n;1
136;fey perdey ñi ñukeyem  pu ;Así perdi a mi difunta madre, \n;1
137;ñi awelayem tuwi ruka traru y ka tuwi ñi aweluyem;mi abuela era de ruka traru y también mi abuelo\n;1
138;ta uh nelay yem ;ahora si que no tiene\n;?
139;ta kuyvi ta mülelafuyem ;antes esto no existía\n;?
140;tañi kuye awelayem ;a mi finada abuela\n;1
141;kuyvi tañi awelayem ;antes mi finada abuela\n;1
142;tañi awelayem ta ;mi finada abuela\n;1
143;ta vemniekevenew tañi awelayem ;pues me tenía así mi finada abuela\n;1
144;tañi piukeyem pikey tañi furiyem pikey;Su corazón dice, su espalda dice.\n ;4
145;tañi furiyem pikey;Su espalda dice.\n ;4
146;elrupuenu ñi fütayem ;me dejo mi marido, \n;1
147;tañi rukameu petu mongeli ñi ñukeyem ;en mi casa todavía estaba viva mi mamá \n;1
148;tañi pu chawem ñi ñukeyem ;Mis padres, mi madre\n;1
149;pifin tañi chawem tañi ñukeyem ;le dije a mi padre a mi madre.\n;1
150;tañi ñukeyem müten ;Mi finada madre fue nomás.\n;1
151;kuyvi tami ñukeyem feypieymew ;ante tu madre que fue me dijo \n;1
152;vey incheñ ñi ñukeyem ;entonces mi finada madre \n;1
153;pütra püñeñelchefeyem ;era una gran partera.\n;1
154;ñi ñukeyem müten inchiu ;mi finada madre nomás los dos,\n;1
155;fey ñi ñukeyem ;mi finada madre\n;1
156;pu fütacheyem kuyfi ngillatufingün;la gente antigua antes le hizo rogativa\n;1
157;kuyfi danufuy danulefuy fütakecheyem ;antes estaban sanos, sanos estaba la gente antigua pues\n;1
158;taiñ kuyvikecheyem ;nuestros antepasados\n;1
159;inchin tañi tañi awelitayem uh;nuestra, nuestra abuelita\n;1
160;inchin awelayem kontaki;nuestra abuela contaba\n;1
161;tukuenu tañi ñukeyem ;me llevó mi finada madre,\n;1
162;ñi ñukeyem ;mi fanada madre,\n;1
163;taiñ fütakekuyficheyem  ;nuestros mayores del antepasados \n;1
164;taiñ fütakecheyem ;nuestros difuntos ancianos \n;1
165;tañi pu familiayem ;nuestras familias \n;1
166;noise ngillañche piuyelanta tañi fütakecheyem kuyfi ;pariente políticos no se dicen nuestros mayores antes \n;1
167;taiñ pu longkoyem kuyfike;nuestros líderes antiguos.\n;1
168;tañi fütake cheyem tati;mis viejos antepasados ese.\n;1
169;iñche doy meli mari tripantu müten niefuyem ;yo sólo tenía, un poco más de cuarenta años tenía\n;?
170;iñche tañi feypikefuy tañi ñukeyem ;me lo decía mi difunta madre\n;1
171;feymeu ta mülekey ta iyagel pikey tañi ñukeyem ta kuyfi;por eso había comida decía mi difunta madre antiguamente\n;1
172;kimpan feychi mültrünelkeiñmu ñukeyem ;conocí el catuto que me hacía mi difunta madre\n;1
173;kuyfi tati pingeiñmu taiñ ñukeyem ;antiguamente nos decía mi difunta madre\n;1
174;feypikey tañi ñukeyem ta;así decía mi difunta madre\n;1
175;feyta yemekeyiñ pikey tañi ñukeyem kuyfi pikey;eso íbamos a buscar decía mi difunta madre, antiguamente decía\n;1
176; ka feley feypikey tañi ñukeyem ;también es así, decía mi difunta madre\n;1
177;pi ta füchakecheyem ;decían las personas de edad \n;1
178;kuyfi tati ta kutranlu taiñ ñukeyem tati ;antes cuando se enfermó mi madre \n;1
179;ñi abuelayem ;mi abuela\n;1
180;yavüngekevuy vuchakeche yem ;tenian fuerza los antiguos\n;1
181;itrovill ikevuy füchakecheyem ;comian de todos los antiguos\n;1
182;vüchakecheyem inche kimpañ ;yo conoci a gente antigua\n;1
183;ñi aweluyem nievuy  mas ;mi finado abuelo tenía mas\n;1
184;welu füchacheyem ;pero la gente antigua\n;1
185;inche ñi aweluyem ;era mi abuelo\n;1
186;kuyvicheyem vemngelay;la gente antigua no hacia eso\n;1
187;kellunien ñi ñukeyem  ;ayuda a mi finada madre\n;1
188;feyem iñche tañi awelayem uh;eso era así, ante mi abuela\n;1
189;femngefel ta füchakecheyem  pu;Así eran los antiguos pues. \n;1
190;feychi lawen niekefuy tañi mamayem ka ;Ese remedio que tenia mi madere.\n ;1
191;may fütra ngillatufe cheyem ;Era una persona de gran sabiduría\n;1
192;tañi ñukeyem ka domowfuy;mi finada madre tambien tuvo hija\n;1
193;kidu kompañapakefenew tañi ñukeyem ;ella me acompañaba con mi elfinada madre\n;1
194;pichi kimpan ñi ñukeyem ;vine a conocer un poco mi finada madre \n;1
195;tañi ñukeyem ;mi difunta madre \n;1
196;ka chi pütakeche yem ;también en los finados ancianos \n;1
197;ka ñi ñukeyem ka fey langümkefuy kiñe kiñe oficha ;mi mama tambien  mataba una , una  oveja\n;1
198;femngechi femllaufuy ñi ñukeyem  ñi chawem;asi andaban  mi mama  mi papa\n;1
199;chumekefell ñi fücha cheem fuchake ñukeyem ;que asian los \n;1
200;fill tripantu konkefuy ñi chawem ñukeyem ;todos los Años  dentraba mi padre mi madre\n;1
201;femekekefuy fuchakecheyem ;eso  hacian  los mayores \n;1
202;felekefuy kuyfike chem putake cheyem ;asi estaban las personas de antes los adultos\n;1
203;ta kuyfi taiñ fuchakecheyem malle ;asi hacian los mayores  sobrino\n;1
204;femekekefuy taiñ fuchakecheyem ;siempre asian los mayores\n;1
205;fill tañi ko ta püchakecheyem ta;todas nuestras aguas  los mayores \n;1
206;füchakecheyem kiduengün kimnefuy tati malle;mayores ellos sabian todos sobrino\n;1
207;puchakecheyem kuyfi mnalle;los mayores ante sobrino\n;1
208;femuechi ngütramkakefuy füchake cheyem ;entonces asi conversavan los mayores antiguos\n;1
209;fücheke cheyem fucheke küpan nem ;los mayores   en la venidera de antes\n;1
210;kuyfi  füchake cheyem ;los mayores de antes\n;1
211;ta pichi kuyfiyem   medica kuyfi malle ;esto eran medica de ante sobrino \n;1
212;ta kuyfike cheyem domo ;las antiguas personas mujeres\n;1
213;afi püchakecheyem kimkefulu lawen;los antiguo que conocian los remedio\n;1
214;kuyfi napor kintukefuy taiñ füchakecheyem ;antes yuyo buscaban mis mayores antiguos\n;1
215;kutran kutran kelafuy ta füchakecheyem ;no lo pasaban enfermo los antiguos \n;1
216;  pu ape pataka tripantu niekefuy füchakeyem ;casi cien Años de vida tenian los antiguos \n;1
217;kuyfi fey fey lakefuy füchkecheyem ;antes ha esa edad morian los antiguos\n;1
218;ta ka pütakecheyem ta doy kimfuy;tambien los ancianos sabian antes.\n ;1
219;ka mongelelu ti pütake lonkoyem ;tambien estan vivo los Lideres \n;1
220;repetakefuy ñi papayem ;respetaba mi Papá\n;1
221; juventud ta kuyfi ta fütakecheyem ;La juventud antiguamente,  los ancianos \n;1
222;fey tapüle ngenoyem machiam ;si por aquí no hay machi pues \n;?
223;fey kiñeke kay feyngekalüm paysanuyem trürkanolu peñi ;\n;1
224;ta feychi dungu elüupuel tañi fütakecheyem ;esas cosas, que nos daban nuestros antepasados\n;1
225;mi papayem feypikefuy;mi Papá decía,\n;1
226;taiñ lonkoyem elmu tati;nuestro pelo que dejamos\n;2
227;tañi pu fütakecheyem ;nuestro ancianos\n;1
228;tañi pucheyem ;mi gente.\n;1
229;ta mülevuyem ka ;pues habria también.\n;?
230;veytamu ta mülekevuyem ;aqui había \n;?
231; porque tüfi ñi fütake cheyem ;poque ese mi antepasados\n;1
232;taiñ ñukeyem femngechi lay;la que era nuestra madre murio asi\n;1
233;tati pichikecheyem punonam;Y los niños no deben pisar.\n;1
234;tüfey mudayngekey tañi awelayem kuyfi ;eso se hace muday, antes mi abuela\n;1
235;pikey ta fütakecheyem noise rume kümey piy ;dicen los antigüos, es muy bueno dice.\n;1
236;depue tokay ñi ñukeyem ;después tocó la que era su madre.\n;1
237;kuduley ñi ñukeyem ;Estaba acostada la que era su madre\n;1
238;ñiu ñukeyem amuaiñ nga timu veloriomu;mi madre iba a ir allí al velorio\n;1
239;arelenu ñi ñukeyem ;me prestó la que era mi madre.\n;1
240;füchakecheyem pichikeche yetunge tam peglleñ ;los antiguos los niños le llevaban las berrugas\n;1
241;pfemuechi mongetukefuy kuyfike cheyem ;asi se mejoraban las personas antiguas\n;1
242;kuyfi fücha kuyfi ñi kuye ñukeyem ta ;ante mucho ante mi mi vieja y fina madre  \n;1
243;tam püchakecheyem kimfuy ka fey malle;tus abuelo sabian tambien tio \n;1
244;ta kuyfi taiñ ku ñukeyem ta kintukefuy feychi lawen ;tambien antes , nuestro abuelo y madre buscaban antes ese remedios \n;1
245;mürkefen ñukeyem ;.................mi finada madre \n;1
246;fey ta kuifita pütakecheyem pinga ;esos antiguamente los ancianos dicen  \n;1
247;fey fey ñi malleyem ;entonces, entonces mi finado tío \n;1
248;pienu ni mamayem ;me dijo mi difunta madre,\n;1
249;piki tañi ñukeyem ;decía mi difunta madre ;1
250;tachi kuse machiyem ;de la anciana Machi fallecida\n;1
251;fey ta mongelmanew ñi kuse ñukeyem ;..me hizo aliviar mi anciana Madre fallecida\n;1
252;tañi kuse ñukeyem ;a mi anciana Madre fallecida\n;1
253;kiñe kuse ñukeyem ñi likan;la piedrecilla a la anciana Madre\n;1
254;tañi kuse ñukeyem  ;mi anciana Madre fallecida.\n;1
255;putulayan pifiñ kuse ñukeyem ;no tomare le dije a mi anciana Madre\n;1
256;femngechi adüntukunelurpuen fütakecheyem ;así nos fueron asustando los difuntos ancianos \n;1
257;p feyti ka kuyfi konayem yau yaumu che ;\n;1
258;konayem ta uh menokomeu uh ;\n;1
259;femngechi kimüukefuyiñ futakecheyem ;así es lo que sabemos de los difuntos ancianos \n;1
260;chi iñche kiñe tañi prima hemanayem femngey;a mi difunta prima hermana le paso eso \n;1
261;felekefuy femngechi iñche kiñe primayem ;así es como le paso a mi difunta prima \n;1
262;tañi awelitayem niekefun ;a mi difunta abuela que tenia \n;1
263;feyta medika domocheyem ;ella era una mujer medica \n;1
264;iñche ta tañi ñukeyem ta küpanen ;mi difunta madre venia \n;1
265;rume fütra rikuyem ;eran muy ricos \n;2
266; no  se kuyfike cheyem ;no sé los difuntos antiguos \n;1
267;pi tachi fütakecheyem ;decían los difuntos ancianos \n;1
268;kuyfi ta rume areyem ta antü;antes mucho calor hacía en el día. \n;?
269;veypikevuy tañi ñukeyem ;eso decía mi inada madre\n;1
270;pikevuy tañi ñukeyem ;decía mi finada madre\n;1
271;ka ñi ñukeyem avümkevuy;Además mi mama cocía\n;1
272;veyta ñi ñukeyem ;estmi mi finada madre\n;1
273;anülimi cheyem piam ;sientate ... decian \n;1
274;lakuyem pingepay ;mi difunto abuelo vino a decir\n;1
275;tañi füta antimilla cargo yem ;Del gran difunto Antimilla Cargo \n;1
276;elüupayayeñmu tañi fütakecheyem ta;que nos dejaron nuestros difuntos ancianos, ;1
277;fey tüfimu antimilla camargo pingefuyem ;de acá del Antimilla Camargo que se llamaba \n;1
278;pütrükelefuy tañi fütakecheyem ;habían artos de nuestros difuntos ancianos \n;1
279;ka fey tati fütakecheyem kayta;también pues los difuntos ancianos \n;1
280;feyta ñi ütrüfnauküley tañi fütacheyem ;por eso se cayeron nuestros difuntos ancianos \n;1
281;fütakecheyem ka peñi ;los difuntos ancianos hermano \n;1
282;tañi fütrakecheyem ka peñi ;nuestros difuntos antepasados hermano.\n;1
283;feyta ka kasike küpan tañi ñukeyem ;por eso tengo procedencia de cacique de mi difunta madre.\n;1
284;toma mellao pingefuyem tañi aweluyem ;Tomas Mellao se llamaba mi difunta abuelo \n;1
285;fütakecheyem tañi elelurpuel chi dungu pieteumu ;los difuntos ancianos me dejaron esa cosa me dijeron \n;1
286;aweluyem tañi mapu ;la tierra de mi difunto abuelo \n;1
287;elüupulu tañi fütakecheyem ;lo que nos dejaron los difuntos ancianos \n;1
288;kuyfi cheyem tati ;los antiguos pues \n;1
289;fütakecheyem ;los difuntosd ancianos \n;1
290;kiñe tañi futacheyem ;un difunto anciano \n;1
291;tañi amtimilla camaru domingo camargu pingefuyem ;Amtimilla Camaru Domingo Camargu se llamaba \n;1
292;wüla ta ütrüfpuy tañi füta aweluyem ;ahora se cayo mi difunto abuelo \n;1
293;femngechi küpanche iñcheam familiayem ;de este tipo de familia vengo yo \n;?
294;kuyfi pütrake kuyficheyem ;antes, bien antiguamente \n;1
295;tañi ikefel tañi fütakecheyem ;lo que consumian los difuntos ancianos \n;1
296;inanerpulu tañi elurpual taiñ fütakecheyem ;debemos continuar los que nos dejaron los difuntos ancianos \n;1
297;tañi elelurpuel tañi fütakecheyem ;los que nos dejaron nuestros antepasados\n;1
298;taiñ fütrakecheyem ;nuestros difunto ancianos  \n;1
299;ka feychi fallesey ñi fütayem ta ;también en ese entonces falleció mi esposo pues\n;1
300;tañi awelayem rume kimfuy lawenem fey;mi abuela sabía mucho de remedio\n;1
301;delikaungekenufulu  pu cheyem ;no eran delicado la persona\n;1
302;pataka niey ufucha tañi aweluyem anay ;de cien ovela teníamos mi abuelo pues\n;1
303;aweluyem anay iñche ünin meli rupachi ;abuelos pues yo pase cuatro veces \n;1
304;piy tati fütake aweluyem witrampüram ;decía los ancianos los abuelos, los levantaban\n;1
305;aweluyem ta kuyfi nay;abuelos pues antes.\n ;1
306;aweluyem kom kimpafiñ polleratuyawi müten;abuelos todos los conocí andaban con pollera no mas.\n;1
307;sumel piy ta fütake aweluyem anay ;sapato dice los ancianos los abuelos\n;1
308;ñi kude tiayem tüfangen ;mi finada vieja tía\n;1
309;kuyfike cheyem ta durakefuy;antes si que la gente duraba mucho  \n;1
310;entunieñmatu tañi kude ñukeyem ;le iba sacando mí finada madre.\n;1
311;tüfi kude ñukeyem akuy likan ;Entonces mí finada anciana madre lican. \n;1
312;fey kude ñukeyem ;Entonces mí finada anciana madre \n;1
313;tañi kude ñukeyem tati ;mí fina anciana madre pues\n;1
314;afuelayem chumkefuy ñi ngillatu engün anta tüfi ;ante la finada abuela que hacían entonces en su gillatunes.\n ;1
315;afuelayem tüfamu feli ta pu nguman;la fina abuela estaba así los llantos. \n;1
316;ñi ñukeyem enseñalkefenu ;mi finada madre me enseñaba\n;1
317;petu mongelewi ñi ñukeyem ;todavía estaba viva mi madre \n;1
318;inche ñi ñukeyem amuy ante las doce ;yo mi fina  madre fue ante las doce\n;1
319;pienew ñi ñukeyem pi;eso me dijo mi fina madre dijo.\n;1
320;pikefenew ñukeyem ;me decía mi fina madre  \n;1
321;kimeltuy ñi ñukeyem ;lo sabe mi finada madre \n;1
322;incheñi kiñe llallayem ;Yo mi una suegra \n;1
323;veypingepatuy ñi koñi yem ay ;Le vinieron a decir mi finado hijo \n;1
324;ñi ñukeyem  machitungekevuy ;una madre se le hacía machitun \n;1
325;inche vemi ñi koñiyem ti ;a mi hijo le paso eso pues \n;1
326;vey ngollirki ñi koñiyem ;entonces estaba bebido mi finado hijo \n;1
327;ñi koñiyem inaye ;mi finado hijo a la ves \n;1
328;ñi füta abueluyem lamngen;mi finado abuelo pues hermana.\n ;1
329;fta abueleyem meki ñi mültrünün feymu ;anciano abuelo estaba de le haciendo catuto ahí\n;1
330;meki ñi mültrünün ñi füta abueluyem ;estaba dele comiendo catuto mí finado abuelo\n;1
331;abulueyem kimün tañi füta abueluem;abuelo pues conocí  mi finado abuelo.\n ;1
332;pütakecheyem kudeke püllü ta rume ;ancianos, ancianas pues tenían mucha\n;1
333;pütakecheyem feymew ta newentukefuy ;los ancianos por eso tenían mucha fortaleza\n;1
334;ta pütakeheyem tüfa ta no femwelay ;los ancianos pues ahora ya no es así\n;1
335;ta che pütrüke che ta afi pichikecheyem ;la gente hartas personas se termina los niños chico\n;1
336;abueluyem kimnipan tañ abueluyem ;abuelo conocí a mi abuelo \n;1
337;nütramkakevenu tañi abueluyem ;me conversaba mi abuelo\n;1
338;ngillatukevuy tañi ñukeyem ;hacia una rogativa mi madre  \n;1
339;ñukeyem vey mari epu tuam pikevuy ;mi finada madre doce hacía decía\n;1
340;tami kutran pikevuy tañi ñukeyem ta inche ;tu enfermedad me decía mi finada madre.\n;1
341;vey tañi ñukeyem veypieyu noise uh;Entones mi madre le dijo,\n;1
342;tañi ñukeyem ka vemngechi lawen;Mi finada madre también esa misma clase de remedio,\n;1
343;pingekey kuyfikeche ta p  iñche tañi ñukeyem ;decían las personas antigua mi finada madre\n;1
344;ta iñche tañi kuyfi tañi ñukeyem tañi chawem ta ;pues yo, antes mi finada madre, mi finado padre pues \n;1
345;ta che ta kuyfi re ngülammu iñche tañi ñukeyem ;la persona antes solo con el consejo, yo mi finada madre\n;1
346;ñi tiuyem yemekeafuiñ kiñeke antürume ;mi finado tío iría a buscar algunos, sacaba\n;1
347;pikeeneu itrokom che melileneeu ñi tiuyem fey ;me decía, toda la gente cuatro medio mi finado tío y,\n;1
348;iñche tañi ñukeyem tañi chauyem ta kuyfi ta ;Yo mi finada madre, mi finado padre pues antes\n;1
349;kuyficheyem ;persona antigua \n;1
350;veypikevuy ñi abulueyem ;eso decía mi finado abuelo\n;1
