;Mapudungun;Traduccion
102;tañi noise ñukeyem ;la que fue mi mamá\n
103;piwkeyem pipingi;mi corazón decía\n
104;tüfa ni furiyem pi ;aquí hasta mi espalda dice\n
105;faw tüfa kutranki furiyem ;por aquí la espalda duele\n
106;furiyem pi ;hay mi espalda decia \n
107;pürüm machitungerkeafuyem  pu ;rápidamente se le iba hacer machitun,\n
108;kuyfi am taiñ fütakecheyem kiduengün rume;antes los antiguos tenían mucho,\n
109;feypikefeiñmu taiñ fütakecheyem ;nos decían los mayores  \n
110;pamuyem ka llemay che;Antes le daba pasmo a la gente también.\n
111;ñi abuelayem kay pikevuy;mi abuela tambien decia \n
112;ñi kureyem konukevuy;mi mujer le toco\n
113;ñi domoyem fey akutulu faw;mi mujer no llego aqui\n
114;maldina machiyem ;la machi Maldina \n
115;ñi ñukeyem enseñalkefenu ;mi finada madre me enseñaba\n
116;ke kuyfikecheyem  fele;También antes  la gente era \n
117;felepefuy tati uh tañi kuyfikecheyem müna kim lawentu ;Sí ,asi era antiguamente la gente sabia de remedio\n
118;ñi kuyfikecheyem kim lawentufuy ;antiguamente las personas sabian de remedio \n
119;uh fey spahace kasokelay tañi kuyfikecheyem taiñ fütachem ;él no hace caso a las gentes antiguas ...\n
120;doy kümefuy porque inchiñ ta kuyfikecheyem doy kim lawentuy;era mejor porque nosotros las gentes antiguas, sabían más de remedios \n
121;may fütra ngillatufe cheyem ;Era una persona de gran sabiduría\n
122;penuayem lawen fey uhm;cuando no vehía remedio\n
123;tañi ñukeyem ka domowfuy;mi finada madre tambien tuvo hija\n
124;kidu kompañapakefenew tañi ñukeyem ;ella me acompañaba con mi elfinada madre\n
125; si kuyfike cheyem ;Si de las personas antigua\n
126;ka mongelekefuy ñi ñukeyem ;también estaba viva mi elfinada madre\n
127;trafentuyem pichikeche uh ;cuando afecta a los niños chicos\n
128;anülimi cheyem piam ;sientate ... decian \n
129;lakuyem pingepay ;mi difunto abuelo vino a decir\n
130;tüfa nieyem kiñekemu ;ahora tengo a veces\n
131;nieyem feymu küpakey fey;lo tenemos que con ese se pasa.\n 
132;fey iñche kutran foroyem ;cuando a mí me duele mi muela\n
133;ngenoyem  posta ngekelafuy;no habían posta \n
134;llankoyem lonko ;Para la caída del cabello \n
135;afuken rume areyem vey tañi trükoken ;.se cose mucha calor ahi se junta\n
136;may kimünmu llemay pütakecheyem ;.Sí conocimiento claro anciano\n
137;kom wichulekevuy pi pütakecheyem ;.Todo aparte decia los anciano\n
138;rupan ikünüyem che ;\n
139;ta uh allfüyem peñi ;se accidentan hermano \n
140;ngillatuy ngillatuparkey ñi awelitayem ;hizo rogativa, vino a la rogativa mi abuelita fallecida\n
141;rume kimvuy lawen tañi ñukeyem tati ;mucho sabía de remedio mi finada madre pues,\n
142;kimvuy ñi ñukeyem ;conocía mi finada madre\n
143;tañi ñukeyem ;mi difunta madre \n
144;feyta tukefuy tañi ñukeyem ;Este lo sacaba mi madre \n
145;tüfayem ta kutrani ta che ;ahora lamentablemente  se enferman la gente\n
146;küme ngütramkayawiyem ta che;cuando anda conversando de buena fórmala persona\n
147;mawayem kimkefuy pürüm pingey;se sabe de inmediato si va llover se dice\n
148;mawayem fey maway pingekey;Cuando va llover, va llover se dice \n
149;rume atregngelu kay miauyem wente pire che;como es muy helado el granizo, del cual uno anda encima. \n
150;müleyem femngechi welngin;Cuando hay safadura así \n
151;fey müleyem nga mülekefuy nga kuyfi nga tralkanmu ;eso cuando hay habia era antes  con el trueno\n
152;pingekefuy nga tichi tralkan nga tiempumu hay allküyem ;le decian era el trueno era en el tiempo que se escuchaba\n
153;füchakecheyem pichikeche yetunge tam peglleñ ;los antiguos los niños le llevaban las berrugas\n
154;pfemuechi mongetukefuy kuyfike cheyem ;asi se mejoraban las personas antiguas\n
155;kuyfi fücha kuyfi ñi kuye ñukeyem ta ;ante mucho ante mi mi vieja y fina madre  \n
156;tam püchakecheyem kimfuy ka fey malle;tus abuelo sabian tambien tio \n
157;ta kuyfi taiñ ku ñukeyem ta kintukefuy feychi lawen ;tambien antes , nuestro abuelo y madre buscaban antes ese remedios \n
158;kuyfi ta cheyem ikefuy nalka ikefuy nalka;antes las personas comian nalcas, comian nalcas,\n
159;kuyfiyem we tripachi kila feyta ikefuy tati kuyfike che;antes cuando recien salia la quila, esao comia la gente antigua.\n
160;feypikefuy ñukeyem wayuw pi fey;así decía mi madre sangraba por la nariz dijo ella.\n 
161;llemay ñi ñkeyem ngütamenew fey ;pues mi finada madre me compuso ahi\n
162;ñukeyem kuyfi laku fey feypilan;finada madre antes abuelo ahí dijo.\n 
163;fey rume kutrankawki che peyem ;y ahí  sufre mucho la gente pues\n
164;füchakecheyem ta mülekefuy ;existían los finados ancianos\n
165;chi füchake mapucheyem  pu;los ancianos finados mapuche pues.\n
166;aguelayem machingekefuy kuyfi ta kuyfi ;finada abuela era machi antes, antes\n
167;pi ta füchakecheyem ;decían las personas de edad \n
168;kuyfi tati ta kutranlu taiñ ñukeyem tati ;antes cuando se enfermó mi madre \n
169;püchakecheyem ngillatuayem ;las personas de edad. \n\n
170;veypikevuy tañi ñukeyem ;eso decía mi inada madre\n
171;pikevuy tañi ñukeyem ;decía mi finada madre\n
172;ka ñi ñukeyem avümkevuy;Además mi mama cocía\n
173;ka kotuyem pürüm kutranki;Y cuando se moja de inmediato se enferma.\n 
174;veyta ñi ñukeyem ;estmi mi finada madre\n
175;kutranyem kuyfi ;cuando se enfermaban antes\n
176;pu fütacheyem kuyfi ngillatufingün;la gente antigua antes le hizo rogativa\n
177;ta uhm welngiyem che ;donde se viera la gente\n
178;trafoyem chumechi mongeluwkefuy che tüfamu ;cómo se mejoraban aquí\n
179;kuyfi danufuy danulefuy fütakecheyem ;antes estaban sanos, sanos estaba la gente antigua pues\n
180;fey poypoyem che throat;Sé incha la gente con eso.\n
181;tripayayem eymin;Si sale usted.\n
182;pewmayem küme miawki;si sueña anda bien.\n 
183;veyta weya yawayem che;eso es cuando va a andar muy mal la persona\n
184;ka amuleyem che chewpülw rume;también cuando va la persona por cualquier lado\n
185;kümeyawayem kay patayme;si va andar bien, el ..........\n
186;kom mawelayem mawelkevuy;todo, para hacer llover, hacían llover,\n
187;mi papayem feypikefuy;mi Papá decía,\n
188;taiñ lonkoyem elmu tati;nuestro pelo que dejamos\n
189;uh akuayem mapumew;que llgan a la tierra\n
190;wütrintu kavuyem ;\n
191;pichi kimpan ñi ñukeyem ;vine a conocer un poco mi finada madre \n
192;ka chi pütakeche yem ;también en los finados ancianos \n
193;trafentuyem chi pichi che may ;así si se encuentra con trafentu un niño\n
194;fey este hojaleyem chi pichi che ;sí este esta ojado el niño\n
195;tukulelngeki lili trapayem ;Si le colocan y le machacan esos\n
196;fey lif mongeyem ;así sanamente se mejora \n
197;nentuymangeyem chi kutran ;cuando ya se le he sacado la enfermedad.\n
198;fey hoja leyem fey tüfey ;Si ésta está ojada\n
199;hoja leyem may feymu mongetuki ;Si está ojada pues, se mejora.\n
200;mongeyem ñi hoja lem ;Se mejora de su mal de ojo \n
201;tukungeyem chi trapi kütralmu ;si se coloca el ají en el fuego\n
202;uh nümünoyem ;si no está pasado \n
203;kimngeyem hoja lem ;si se sabe que está ojada \n
204;feyti wesa lelingeyem che ;así por la mala mirada de la gente\n\n
205;kam sakingeyem illkulen ;o una niña regalona que esta contenta \n
206;weda leli ngeyem ;Por la mala mirada que le llevan \n
207;ka ayitukangeyem ;o que lo queren lo festejan\n
208;uh tripayem pun ;que salen en la noche\n
209;kam pülü chi konyem ;o una mosca esa dentra\n
210;feyentufinoyem chi lawen ;llevara más en consideracion ese remedio\n
211;kiñe che tukuyem ;una persona se lleva dentro \n
212;trafoyem che ka müli lawen ;Cuando se quiebra la gente también hay remedio. \n
213;mülpün müleki uh kütraltuyem che nga ;El ollin esta en el fogon de la gente\n
214;kütraltuyem müten che ;En el fogon de la gente no más\n
215;fey kurü ki chi pichike mamüll pitruntuyem ;es negro los pequeños palos que llevan las tiras \n
216;feyentuyem feyenturki chi lawen ;Si se lleva el correcto correcto el el remedio. \n
217;feyentungenoyem mongelchekelay pingeki ;Si no es correcto no se mejora la gente se dice\n
218;feula pichi kiñepchi che uh naceyem müten ;ahora algunos niños apenas nacen no más\n
219;ñi füchake cheyem ;a los ancianos ya difuntos \n
220;lafken lafken nasey ñi ñukeyem ka ;Del mar, en el mar nació su difunta madre \n
221;tami awelayem ;tu difunta abuela \n
222;perdeafulu tami awelayem ;se iba a perder tu difunta abuela \n
223;chumkefuy tami awelayem ;Como estaba tu difunta abuela\n
224;  fina manuela yem ;difunta Manuela, difunta \n
225;pikefeneu chi tami awelayem   pu ;me decía tu difunta abuela pues\n
226;ta ti porque tami tiayem ta llochayem ;porque tu difunta tía esta enferma\n
227;tañi naduyem ;Mi difunta cuñada \n
228;feyti eymün kuyfi kutran yem ;Eso ustedes antiguamente con las enfermedades \n
229;petu ngenoyem tripal ;cuando todavía no había hospital \n
230;fengevuy ñukeyem ;así era mi mamá\n
231;operalay perdey ñi ñukeyem ;No lo operaron y murio mi mamá.\n\n
232;yeñmanu ñi ñukeyem ;me lo la fue mi mamá.\n
233;veychi kutran lleñmanu ñi ñukeyem ;Esta enfermedad me lo llevó la fue mi mamá.\n
234;ñi ñukeyem fey inakintuneken ;mi la era mi mamá eso observaba\n
235;feyti uh femnoyem feyta;éste si no lo pasa\n
236;datuki kutran tati chaw datungeyem ;satun se hace al enfermo padre 
237;vey vewla datungi kutran datungeyem vey ;ahí ahora le hacen satun al enfermo ese,\n
238;lonko ngeal llamkümyem vey ;de la cabeza para que no se caiga eso\n
239;küymiyem machi kidu ;Entra en trance la machi sola \n
240;chi kutran vey veypiyem amupe ka ;La enfermedad eso dijo que siga también \n
241;müleyem ngen lawen ngenkülelu lawen ;hay dueño del remedio, tiene su dueño el remedio\n
242;müleyem ngen lawen ka müleki lawen ;Había dueño del remedio también había remedio\n
243;müte ngewelay kintuntungeyem ;No hay mucho se debe dejar buscado\n
244;ti kuye llallayem ;esa anciana suegra, \n
245;amuyi veymu ta amuy ta pücha malleyem ;Fueron, ahí y se fue mí tío\n
246;piuke wiyem peno veyta laki ta;Corazón creo ahí fallece la persona.\n
247;piukemu koniyem laki che pingelay ;Cuando entra en le corazón fallece la persona dicen\n
248;fey ka ñi vemngechi piyem ta feyta ;Y así también dicen eso\n
249;ta domo ta layem ;una mujer hizo morir \n
250;inche tañi papayem ;mi finada mamá \n
251;taiñ pütakecheyem ;nuestra persona anciana ante\n
252;inche petu ñi ñukeyem petu mongeli;cuando mi madre vivia.\n
253;perimontuyem che pingi;al ver cosas la gente se dice.\n
254; y uh chemyem ka  así kürüfyüm ;Y cuando pasa, así el viento\n
255;pütake spaabueluyem nütramkakevuy;Los grandes abuelos conversaban\n
256;kuyfi trempaviñ püta abueluyem ;antes vine a conocer a mi   gran finado abuelo\n
257;kiñe abuelayem entukevenu ;un abuelo sacaba \n
258;mülekefuyem alimentu;habia  alimento \n
259;feyem kiñen trür küpalingün ;asi todos juntos  vienen. 
260;katrüfünyem müli kay lawen;Cortadura de carne hay remdio. \n 
261; porque tüfi ñi fütake cheyem ;poque ese mi antepasados\n
262;señoritayem tañi kimelael  la  hora;la señorita que debe saber la hora\n
263;welu layem che lamngen tüfamu uh;Pero cuando las personas mueren acá.\n
264;tañi agueluyem ta chau tañi agueluyem;mi difunto abuelo, mi abuelo por parte de padre\n
265;tañi longko ta piukeyem  aveces;mi cabeza y mi corazón, a veces\n
266;gripeyem cheu amukeymün ;cdo les da gripe, dónde van,\n
267;chumkefeneu ñi ñukeyem chi;lo que me hacía mi madre, \n
268;feyta mülekefuy ñi ñukeyem ;para esto estaba mi difunta madre\n
269;ellakamu küme küdauleyem fundumu ;al principio estaba trabajando bien en el fundo,\n
270;femkefuyin feyem ti kuyfi fey kimpan  ;así hacíamos antes, eso conocí\n
271;kuyfiyem felekelafuy dungu felekelafuy ;antoguamente las cosas no eran así, no eran así\n
272;falpakefun fücha aweluyem ;con el anciano, mi abuelo\n
273; y  era kuyfikecheyem üñamko ;y era los ancianos üñamko\n
274;pobre ñukeyem ;pobre mi finada madre \n
275;chew tañi ngillatupemum fütakecheyem spa;donde hacían ngüllatun anciano gente  \n
276;chumplu tañi pienu ñi ñukeyem ;que paso dijo mi madre \n
277;chachay chachay pikevun iñ malleyem ;Chachay, chachay le decíamos nuestros tío. \n
278;malleyem weyi kon tati ;mi tío .....................\n
279;tañi mamayem ;mi finada madre\n
280;feymu nga amun pi tañi mamayem ;ahí pues fui dijo mi finada madre\n
281;tiayem ;Finada tía\n
282;ñi noise aguelayem may ;mi finada abuela pues\n
283;feymu mongeli ñi mamayem ;en esa oportunidad mi finada madre estaba viva\n
284;amuayiñ pingevuyem spa;vamos ir decían pues \n
285;kuyfi taiñ mapuyem spa;Ante nuestra tierra era \n
286;pikevuyem ;decía ante pues \n
287;mapumuyem spa;de la tierra pues \n
288;iñchiñ nge mapuyem spa;nosotros somos dueño tierra \n
289;femngevuyem ka spapero ;Eso se hacia pues, pero...\n
290;feylle doy kümelevuyem ;Eso es más bueno era \n
291;kuyficheyem ;persona antigua \n
292;veypikevuy ñi abulueyem ;eso decía mi finado abuelo\n
293;konki kom konkefuyem ;Entraba, todo entrábamos \n
294;pichin tripantu nievuyem spa;Poco año tenemos \n
295;velekavun incheyem müten tati;así he estado yo nomás pues.\n
296;kümeki rume ütrirngeyem che ;Cuando es bueno mucho se le envidia a la persona,\n
297;feymu fey kintulelenu tañi ñukeyem ;allá  me buscó mi finada madre,\n
298;pinküyem püra pütralu ürke ;pulsaba como si subiera mi estómago \n
299;müna kümiyem palu santüyenoam;también es muy bueno palo santo  es pues.\n
300;taiñ ñukeyem ta kom;mi madre y todos \n
301;püchakecheyem tati ;las personas de edad pues\n
302;welu tañi pücha lakuyem pi;pero mi viejo abuelo paterno \n
303;inche tañi ñukeyem kutranlu kuyfi;Cuando mi madre se enfermó hace tiempo\n
304;füchakecheyem feypikefuy;las personas antiguas decían \n
305;pikefuy tañi fücha aweluyem erke tati ;decía mi gran abuelo pues. \n
306;rupayem nellen;al pasar el aire\n
307; este atruken cheu rume miawün miawüyem ;me  canso adonde  quiera  que  ando  donde  ando\n
308;femtre miauyem malle ;cuando  camino  harto  sobrino  \n
309;femngechi wüyüki ni tukuyem ne wüyüken ;asi me da mareo cuando me los pongo  me mareo\n
310;femngechi tukeyem deuma doy wüyüki ñi lonko ;cuando los agarro ya mas se me marea la cabeza\n
311;ka ñi ñukeyem ka fey langümkefuy kiñe kiñe oficha ;mi mama tambien  mataba una , una  oveja\n
312;femngechi femllaufuy ñi ñukeyem  ñi chawem;asi andaban  mi mama  mi papa\n
313;chumekefell ñi fücha cheem fuchake ñukeyem ;que asian los \n
314;fill tripantu konkefuy ñi chawem ñukeyem ;todos los Años  dentraba mi padre mi madre\n
315;femekekefuy fuchakecheyem ;eso  hacian  los mayores \n
316;kuyfi mapuche küpa maweliyem mawelkefuy pingi;antes los mapuche cuando quierian hacer llover llovia dicen\n
317;felekefuy kuyfike chem putake cheyem ;asi estaban las personas de antes los adultos\n
318;ta kuyfi taiñ fuchakecheyem malle ;asi hacian los mayores  sobrino\n
319;femekekefuy taiñ fuchakecheyem ;siempre asian los mayores\n
320;fill tañi ko ta püchakecheyem ta;todas nuestras aguas  los mayores \n
321;füchakecheyem kiduengün kimnefuy tati malle;mayores ellos sabian todos sobrino\n
322;puchakecheyem kuyfi mnalle;los mayores ante sobrino\n
323;femuechi ngütramkakefuy füchake cheyem ;entonces asi conversavan los mayores antiguos\n
324;fücheke cheyem fucheke küpan nem ;los mayores   en la venidera de antes\n
325;kuyfi  füchake cheyem ;los mayores de antes\n
326;ta pichi kuyfiyem   medica kuyfi malle ;esto eran medica de ante sobrino \n
327;ta kuyfike cheyem domo ;las antiguas personas mujeres\n
328;tüfichi ütriu kümefuy kutran kutranyem pütra ;ese quintral de boldo es bueno para el dolor de guata\n
329;femuechi anta mongelüukefuy ta pütakecheyem ;entonces asi se mejoraban los adultos mayores\n
330;afi püchakecheyem kimkefulu lawen;los antiguo que conocian los remedio\n
331;kuyfi napor kintukefuy taiñ füchakecheyem ;antes yuyo buscaban mis mayores antiguos\n
332;kutran kutran kelafuy ta füchakecheyem ;no lo pasaban enfermo los antiguos \n
333;  pu ape pataka tripantu niekefuy füchakeyem ;casi cien Años de vida tenian los antiguos \n
334;kuyfi fey fey lakefuy füchkecheyem ;antes ha esa edad morian los antiguos\n
335;femngechi adüntukunelurpuen fütakecheyem ;así nos fueron asustando los difuntos ancianos \n
336;p feyti ka kuyfi konayem yau yaumu che ;\n
337;konayem ta uh menokomeu uh ;\n
338;kümeyawiyem wele witalimi kay ;entonces anda bien, si te lenantas por la izquierza  \n
339;weda peumayem tripakelan peñi ;si sueño mal entonces no salgo hermano,\n
340;femngechi kimüukefuyiñ futakecheyem ;así es lo que sabemos de los difuntos ancianos \n
341;chi iñche kiñe tañi prima hemanayem femngey;a mi difunta prima hermana le paso eso \n
342;felekefuy femngechi iñche kiñe primayem ;así es como le paso a mi difunta prima \n
343;tañi awelitayem niekefun ;a mi difunta abuela que tenia \n
344;feyta medika domocheyem ;ella era una mujer medica \n
345;p feymu ta wimkefuy yem tati ;por eso se acostumbraban \n
346;kurü ñarki kay katrürupayem rüpümu ;Si un gato negro se atraviesa en el camino\n
347;iñche ta tañi ñukeyem ta küpanen ;mi difunta madre venia \n
348;rume fütra rikuyem ;eran muy ricos \n
349;señalayem señalakeyngün ;los señalaban, señalaban \n
350;señalayem katrüpilunayem tañi kullin ta che ;también la gente señala cortándole la oreja al animal \n
351; no  se kuyfike cheyem ;no sé los difuntos antiguos \n
352;entungepakey püuyem ta tripantu;lo viene a sacar en el invierno \n
353;katrüpilunayem wüla ta che ;la gente le cortaba la oreja \n
354;piren nayem rarakükey ;Con el granizo como que hierve \n
355;fey mawayem kiñe tati ;y da vuelta pues \n
356;pi tachi fütakecheyem ;decían los difuntos ancianos \n
357;kuyfi ta rume areyem ta antü;antes mucho calor hacía en el día. \n
358;iñchiñ tamu ngellipuayem ;Nosotros tenemos que rogar \n
359;ngütrüm mawünayem pingeyiñ ;para llamar la lluvia decimos \n
360;tañi ngellipuyem peñi ;en nuestra rogativa hermano. \n
361;kangentungeyem ;cuando lo encuentra raro \n
362;nienoyem kutran ;Si no tiene enfermedad \n
363;pepunoyem ta chem rume ;si no va ver ninguna cosa \n
364;pepuyem ;cuando lo va ha ver \n
365;taiñ fütakecheyem ;nuestros maoyores del antepasado \n
366;tañi füta antimilla cargo yem ;Del gran difunto Antimilla Cargo \n
367;elüupayayeñmu tañi fütakecheyem ta;que nos dejaron nuestros difuntos ancianos, 
368;fey tüfimu antimilla camargo pingefuyem ;de acá del Antimilla Camargo que se llamaba \n
369;pütrükelefuy tañi fütakecheyem ;habían artos de nuestros difuntos ancianos \n
370;ka fey tati fütakecheyem kayta;también pues los difuntos ancianos \n
371;feyta ñi ütrüfnauküley tañi fütacheyem ;por eso se cayeron nuestros difuntos ancianos \n
372;fütakecheyem ka peñi ;los difuntos ancianos hermano \n
373;tañi fütrakecheyem ka peñi ;nuestros difuntos antepasados hermano.\n
374;feyta ka kasike küpan tañi ñukeyem ;por eso tengo procedencia de cacique de mi difunta madre.\n
375;toma mellao pingefuyem tañi aweluyem ;Tomas Mellao se llamaba mi difunta abuelo \n
376;fütakecheyem tañi elelurpuel chi dungu pieteumu ;los difuntos ancianos me dejaron esa cosa me dijeron \n
377;aweluyem tañi mapu ;la tierra de mi difunto abuelo \n
378;elüupulu tañi fütakecheyem ;lo que nos dejaron los difuntos ancianos \n
379;kuyfi cheyem tati ;los antiguos pues \n
380;fütakecheyem ;los difuntosd ancianos \n
381;tañi chem dungu rume ta niayem ;con los temas que tenían \n
382;pu deu püuluyem ;cuando ya habían entrado\n
383;tañi puwüliyem tañi ;donde llegó pues \n
384;tupakenchi fey weñañgküleyem ;me entristezco \n
385;kiñe tañi futacheyem ;un difunto anciano \n
386;tañi amtimilla camaru domingo camargu pingefuyem ;Amtimilla Camaru Domingo Camargu se llamaba \n
387;wüla ta ütrüfpuy tañi füta aweluyem ;ahora se cayo mi difunto abuelo \n
388;femngechi küpanche iñcheam familiayem ;de este tipo de familia vengo yo \n
389;femfiyem piken ka ;por que le hice eso digo también, \n
390;kuyfi pütrake kuyficheyem ;antes, bien antiguamente \n
391;chumngechi che trokiukefuyem ;quizas que tipo de personas se consideraban \n
392;fey tati pichikeche tati münakechi cheyem ;los niños ya no valorizan a la gente antigua \n
393;kom küme inanefile tati kuyfike dunguyem ;y si sigue todo bien los conocimientos antiguos \n
394;tañi kewün tañi pichikecheyem ka peñi ;la lengua a los niños chicos también hermano\n
395;fey tañi niafel tati  escuela feyem ta faltaley ta;eso debiera tener en su escuela, eso es lo que falta ahora\n
