;Palabra;Glosa
282;kewatuyawlayaymi;kewa-tu-yaw-la-ya-ymi
283;montuy;montu-y
284;siglo;siglo
285;frutilla;frutilla
286;pey;pe-y
287;lulu;lulu
288;kimeltungey;kimel-tu-nge-y
289;feypiaiñ;fey-pi-a-iñ
290;wingkawtuyngün;wingka-w-tu-y-ngün
291;sabado;sabado
292;urkutulean;urku-tu-le-a-n
293;eluyengey;elu-ye-nge-y
294;mawüy;mawü-y
295;elkawkülemün;elkaw-küle-mün
296;karpinteria;karpinteria
297;trokiñ;trokiñ
298;illküy;illkü-y
299;faltay;falta-y
300;ltukungey;ltuku-nge-y
301;kellukefuyngün;kellu-ke-fu-y-ngün
302;pepiküdawlay;pepi-küdaw-la-y
303;felipe;felipe
304;cuerdo;cuerdo
305;illkütukulayaymi;illkü-tuku-la-ya-ymi
306;ilu;i-lu
307;amuwelay;amu-we-la-y
308;yentukunuñmafin;ye-n-tu-kunu-ñma-fi-n
309;nütramkaymi;nütramka-ymi
310;tukungekerkefuy;tuku-nge-ke-rke-fu-y
311;kellueymew;kellu-e-ym-ew
312;chumlay;chum-la-y
313;ayiwi;ayi-w-i
314;kimfuy;kim-fu-y
315;yemengekefuy;ye-me-nge-ke-fu-y
316;pingekelay;pi-nge-ke-la-y
317;purapulu;pura-pu-lu
318;gente;g-e-n-t-e
319;nagpuy;nag-pu-y
320;famtripayngün;fam-tripa-y-ngün
321;elueyew;elu-e-y-ew
322;tukuniekelafuymi;tuku-nie-ke-la-fu-ymi
323;mapudunguletuy;mapudungu-le-tu-y
324;chayi;chayi
325;layay;la-ya-y
326;yelelngey;ye-lel-nge-y
327;küpadungun;küpa-dungu-n
328;yenielay;ye-nie-la-y
329;nütram;nütram
330;wiñolu;wiño-lu
331;feleel;fele-el
332;popa;po-pa
333;cuando;cuando
334;iñchiñ;iñchiñ
335;carretera;carretera
336;lapelayafuy;la-pe-la-ya-fu-y
337;dungulaeyew;dungu-la-e-y-ew
338;tecnologia;tecnologia
339;feypikefeyñmew;fey-pi-ke-f-e-yñ-mew
340;tremoel;tremo-el
341;adkintumeken;adkintu-meke-n
342;kellungeael;kellu-nge-a-el
343;ngüman;ngüma-n
344;kümelkakey;küme-l-ka-ke-y
345;awarkude;awar-kude-
346;niefimi;nie-fi-mi
347;eluniemuiñ;elu-nie-mu-iñ
348;küdawkeael;küdaw-ke-a-el
349;allkutuñmakefuiñ;allkutu-ñma-ke-fu-iñ
350;chumkunuael;chum-kunu-a-el
351;pelu;pe-lu
352;kuntuley;kuntu-le-y
353;encargado;encargado
354;kümelkalepan;küme-l-ka-le-pa-n
355;chumüll;chumüll
356;allküymi;allkü-ymi
357;kiñenmekekelafuy;kiñe-n-meke-ke-la-fu-y
358;mütrümtufin;mütrüm-tu-fi-n
359;fendefiy;fende-fi-y
360;teresa;teresa
361;piafin;pi-a-fi-n
362;ngümayael;ngüma-ya-el
363;wedwedkülekefun;wedwed-küle-ke-fu-n
364;trapelakucha;trapelakucha
365;confianza;confianza
366;ngillatufuy;ngillatu-fu-y
367;allkükefun;allkü-ke-fu-n
368;nengümael;nengüm-a-el
369;pingerkefuy;pi-nge-rke-fu-y
370;yelmeaeyu;ye-l-me-a-e-yu
371;müleiñ;müle-iñ
372;müleputuy;müle-pu-tu-y
373;akulaymi;aku-la-ymi
374;nagn;nag-n
375;longkotukuniefin;longko-tuku-nie-fi-n
376;chemkelan;chem-ke-la-n
377;küpakimün;küpa-kim-ün
378;mansana;mansana
379;chile;chile
380;pinolu;pi-no-lu
381;peno;peno
382;epu;epu
383;i;i-
384;anümchengen;anüm-che-nge-n
385;kewakefuy;kewa-ke-fu-y
386;kümelkatuyngün;küme-l-ka-tu-y-ngün
387;dewmayael;dewma-ya-el
388;amukefulu;amu-ke-fu-lu
389;nguyun;nguyu-n
390;chillkatukeymi;chillkatu-ke-ymi
391;wiñorakiduamtuael;wiño-rakiduam-tu-a-el
392;palmera;palmera
393;pilu;pi-lu
394;küdawkeyngün;küdaw-ke-y-ngün
395;ayiwkülen;ayi-w-küle-n
396;pipay;pi-pa-y
397;ñochikechi;ñochi-kechi
398;pütrülekefuy;pütrü-le-ke-fu-y
399;chichay;chichay
400;trurnon;trur-no-n
401;rag;rag
402;ayen;aye-n
403;mallmallngekefuy;mallmall-nge-ke-fu-y
404;yewekefuy;yewe-ke-fu-y
405;falin;fali-n
406;mongetuaymi;monge-tu-a-ymi
407;wedameyñmew;weda-m-e-yñ-mew
408;foltralen;foltra-le-n
409;podülpay;pod-ül-pa-y
410;novillo;novillo
411;epeke;epe-ke
412;kutrankefulu;kutran-ke-fu-lu
413;kuramtulayafuiñ;kuram-tu-la-ya-fu-iñ
414;llikakefuiñ;llika-ke-fu-iñ
415;elkunurpuy;el-kunu-rpu-y
416;yafutukeiñ;yafutu-ke-iñ
417;akule;aku-l-e
418;ñuñoa;ñuñoa
419;niepan;nie-pa-n
420;inayaw;ina-yaw-
421;kutrankawimi;kutrankaw-imi
422;chewi;che-w-i
423;fisa;fis-a
424;examen;examen
425;weychafe;weycha-fe
426;küdawtuael;küdaw-tu-a-el
427;tunten;tunten
428;leli;lel-i
429;pinochet;pinochet
430;ingey;i-nge-y
431;layaymün;la-ya-ymün
432;lejos;lejos
433;akuken;aku-ke-n
434;burito;burito
435;pekelay;pe-ke-la-y
436;chemwelay;chem-we-la-y
437;epew;epew
438;fülangkülekefuy;fülang-küle-ke-fu-y
439;sur;sur
440;pepan;pe-pa-n
441;kosecha;kosecha
442;eluafuen;elu-a-fu-e-n
443;kompañkefuiñ;kompañ-ke-fu-iñ
444;longkotukunien;longko-tuku-nie-n
445;kisuletulan;kisu-le-tu-la-n
446;felekerkey;fele-ke-rke-y
447;kutrannole;kutran-no-l-e
448;ngillatukefuyngün;ngillatu-ke-fu-y-ngün
449;ngillatuael;ngillatu-a-el
450;kellulaeymew;kellu-la-e-ym-ew
451;tukunge;tuku-nge
452;wingkaw;wingka-w
453;elkawkeiñ;elkaw-ke-iñ
454;yentukunufin;ye-n-tu-kunu-fi-n
455;yem;yem
456;pultrunley;pultrun-le-y
457;küpafuy;küpa-fu-y
458;kewün;kewü-n
459;chengen;che-nge-n
460;wingkadunguleyngün;wingkadungu-le-y-ngün
461;tripale;tripa-l-e
462;rulpangey;rulpa-nge-y
463;elukefuenew;elu-ke-fu-e-n-ew
464;yerpafueymew;ye-rpa-fu-e-y-mew
465;allkutulu;allkutu-lu
466;felealu;fele-a-lu
467;allkükeiñ;allkü-ke-iñ
468;rakiduam;rakiduam
469;ayiwküley;ayi-w-küle-y
470;ngollilu;ngolli-lu
471;müllokiñ;müllokiñ
472;ülkantuyawkey;ülkantu-yaw-ke-y
473;langümngekelay;langüm-nge-ke-la-y
474;kimfuli;kim-fu-l-i
475;allkutun;allkutu-n
476;ngoymafun;ngoyma-fu-n
477;weon;weon
478;allküfun;allkü-fu-n
479;tripantü;tripantü
480;wimtulan;wim-tu-la-n
481;piafuiñ;pi-a-fu-iñ
482;chumleael;chum-le-a-el
483;budinera;budinera
484;aceptalu;acepta-lu
485;pienew;pi-e-n-ew
486;putokokeymi;putoko-ke-ymi
487;fendengekey;fende-nge-ke-y
488;pikepelay;pi-ke-pe-la-y
489;katrukachuael;katru-kachu-a-el
490;ruflu;ruf-lu
491;ngillatuñmakefin;ngillatu-ñma-ke-fi-n
492;indigenangen;indigena-nge-n
493;entuafuymi;entu-a-fu-ymi
494;arribatulepaiñ;arriba-tu-le-pa-iñ
495;nienolimi;nie-no-l-imi
496;kimentumefin;kim-entu-me-fi-n
497;weupifengeay;weupi-fe-nge-a-y
498;enseñangey;enseña-nge-y
499;yafulukey;yafu-lu-ke-y
500;chi;chi
501;miyawi;miyaw-i
502;ngülañmangeam;ngüla-ñma-nge-a-m
503;feypieyu;fey-pi-e-yu
504;la;la
505;eli;el-i
506;pellkelepelayngün;pellke-le-pe-la-y-ngün
507;iloachawall;ilo-achawall
508;plaza;plaza
509;polola;polola
510;mongeley;monge-le-y
511;chemkelafuy;chem-ke-la-fu-y
512;kuchatuken;kucha-tu-ke-n
513;kimpay;kim-pa-y
514;feypiafuen;fey-pi-a-fu-e-n
515;pilunafiiñ;pilun-a-fi-iñ
516;kimelenew;kimel-e-n-ew
517;tio;ti-o
518;kuñiwtukuyawiñ;kuñiw-tuku-yaw-iñ
519;niekan;nie-ka-n
520;feypikeenew;fey-pi-ke-e-n-ew
521;chengerkey;che-nge-rke-y
522;yepape;ye-pa-pe
523;kimkefiy;kim-ke-fi-y
524;ejemplo;ejemplo
525;iglesia;iglesia
526;nentukey;nentu-ke-y
527;vena;vena
528;profesormekekerkefuy;profesor-meke-ke-rke-fu-y
529;chengey;che-nge-y
530;faly;fal-y
531;umawkülefun;umaw-küle-fu-n
532;kimelwe;kimel-we
533;amupelayan;amu-pe-la-ya-n
534;kazuelaachawalltun;kazuelaachawall-tu-n
535;kullingen;kulli-nge-n
536;femniefiy;fem-nie-fi-y
537;vecinowen;vecino-wen
538;niengekey;nie-nge-ke-y
539;niekelafiiñ;nie-ke-la-fi-iñ
540;huasolekefuy;huaso-le-ke-fu-y
541;año;año
542;kiñe;kiñe-
543;lapan;lapa-n
544;ülmen;ülmen
545;katrumamüllmeam;katru-mamüll-me-a-m
546;ilokawün;ilo-ka-w-ün
547;layafun;la-ya-fu-n
548;miyawael;miyaw-a-el
549;trafokay;trafo-ka-y
550;lolo;lolo
551;nütramkakelu;nütramka-ke-lu
552;menoko;menoko
553;küdawan;küdaw-a-n
554;rume;rume
555;kimiñ;kim-iñ
556;yeweniefin;ye-we-nie-fi-n
557;ngoymakerkelay;ngoyma-ke-rke-la-y
558;wentelaf;wentelaf
559;kümekey;küme-ke-y
560;nentuael;nentu-a-el
561;pünengeken;püne-nge-ke-n
562;konalu;kon-a-lu
563;piaeyu;pi-a-e-yu
564;ngillametuy;ngilla-me-tu-y
565;weupikefuy;weupi-ke-fu-y
566;entumeken;entu-meke-n
567;nieaetew;nie-a-e-t-ew
568;ngewelay;nge-we-la-y
569;kullingekerkelay;kulli-nge-ke-rke-la-y
570;nentupelay;nentu-pe-la-y
571;trapumülfiy;trapum-ül-fi-y
572;wingka;wingka
573;küdawmen;küdaw-me-n
574;chumkunuafuy;chum-kunu-a-fu-y
575;welu;welu
576;faney;fane-y
577;sinvoroso;sinvoroso
578;pifenew;pi-f-e-n-ew
579;pichintu;pichi-ntu
580;miyawkey;miyaw-ke-y
581;mapudunguafun;mapudungu-a-fu-n
582;kurülekefuy;kurü-le-ke-fu-y
583;tukuenew;tuku-e-n-ew
584;müna;müna
585;küpalimi;küpal-imi
586;supermercado;supermercado
587;ayelafin;aye-la-fi-n
588;respetalayafiy;respeta-la-ya-fi-y
589;yekefenew;ye-ke-f-e-n-ew
590;kimwelay;kim-we-la-y
591;kureyawle;kure-yaw-l-e
592;weñeñmafiel;weñe-ñma-fi-el
593;ipayafuy;i-pa-ya-fu-y
594;katrungey;katru-nge-y
595;tarea;tarea
596;kintukey;kintu-ke-y
597;nielayu;nie-la-yu
598;ñochika;ñochi-ka
599;feyngey;fey-nge-y
600;eñukolwe;eñu-ko-l-we
601;pi;pi-
602;elmekefuy;el-me-ke-fu-y
603;kimpuymi;kim-pu-ymi
604;niekefuy;nie-ke-fu-y
605;mo;mo
606;konkey;kon-ke-y
607;kimelngealu;kimel-nge-a-lu
608;puwtuael;puw-tu-a-el
609;mülepun;müle-pu-n
610;mülepelay;müle-pe-la-y
611;tripay;tripa-y
612;akutulu;aku-tu-lu
613;elkeyu;el-ke-yu
614;mamüllngelay;mamüll-nge-la-y
615;konpayael;kon-pa-ya-el
616;weñen;weñe-n
617;pikeeyñmew;pi-ke-e-yñ-mew
618;wulayan;wula-ya-n
619;agustina;agustina
620;rungalküley;rungal-küle-y
621;mariano;mariano
622;amuleken;amu-le-ke-n
623;werküenew;werkü-e-n-ew
624;llika;llika
625;pichike;pichi-ke
626;kimentumen;kim-entu-me-n
627;amurumenole;amu-rume-no-l-e
628;ñamümi;ñam-üm-i
629;lelikefuy;leli-ke-fu-y
630;macul;macul
631;witrakefiiñ;witra-ke-fi-iñ
632;korona;korona
633;iloufisa;ilo-ufisa
634;kellunoalu;kellu-no-a-lu
635;wingkadunguleetew;wingkadungu-le-e-t-ew
636;katrun;katru-n
637;operangetuy;opera-nge-tu-y
638;kimafiel;kim-a-fi-el
639;waka;waka
640;kimlayayiñ;kim-la-ya-y-iñ
641;adumwetulay;adum-we-tu-la-y
642;domo;domo
643;küdawmey;küdaw-me-y
644;pelontungekefuy;pelon-tu-nge-ke-fu-y
645;mapuchengenrkeno;mapuche-nge-n-rke-no
646;ilongeael;ilo-nge-a-el
647;piwkeleymi;piwke-le-ymi
648;kimelfengeli;kimelfe-nge-l-i
649;pariente;pariente
650;pingey;pi-nge-y
651;kimmapudunguy;kim-mapudungu-y
652;ayefin;aye-fi-n
653;wengetuy;we-nge-tu-y
654;tabla;tabla
655;kimaymün;kim-a-ymün
656;elungen;elu-nge-n
657;ngümakeiñ;ngüma-ke-iñ
658;niefiy;nie-fi-y
659;ngillakaiñ;ngilla-ka-iñ
660;küpaley;küpa-le-y
661;küdawlemum;küdaw-le-mu-m
662;puno;pun-o-
663;mapudungukeymün;mapudungu-ke-ymün
664;rumekelay;rume-ke-la-y
665;küpatuyngün;küpa-tu-y-ngün
666;ngoymafuymün;ngoyma-fu-ymün
667;femnoliñ;fem-no-l-iñ
668;chumleymi;chum-le-ymi
669;amukeymün;amu-ke-ymün
670;allküngelay;allkü-nge-la-y
671;arreglangetukefuy;arregla-nge-tu-ke-fu-y
672;niepelayay;nie-pe-la-ya-y
673;enseñapamupaiñ;enseña-pa-mu-pa-iñ
674;nengümnengümngey;nengüm-nengüm-nge-y
675;kimnoael;kim-no-a-el
676;fin;fin
677;pingechi;pi-nge-chi
678;pefilu;pe-fi-lu
679;küpakekonfuy;küpa-ke-kon-fu-y
680;faliy;fali-y
681;wulngekefuy;wul-nge-ke-fu-y
682;kutranfuy;kutran-fu-y
683;adumunolu;adumu-no-lu
684;ayeael;aye-a-el
685;rungalngey;rungal-nge-y
686;nguyukelay;nguyu-ke-la-y
687;mülepaymi;müle-pa-ymi
688;wim;wim
689;feyentulafiel;feyentu-l-a-fi-el
690;yeniengen;ye-nie-nge-n
691;allkün;allkü-n
692;adentuleael;adentu-le-a-el
693;kimelmapudunguy;kimel-mapudungu-y
694;chumafuy;chum-a-fu-y
695;küdawken;küdaw-ke-n
696;pingeymi;pi-nge-ymi
697;femilmi;femi-l-mi
698;ketran;ketra-n
699;arelen;are-le-n
700;kayñe;kayñe
701;ofisa;ofisa
702;chumngelu;chumngelu
703;ngillañmanieafiel;ngilla-ñma-nie-a-fi-el
704;norte;norte
705;kofkefengelu;kofke-fe-nge-lu
706;entuyngün;entu-y-ngün
707;wingkadungufemyngün;wingkadungu-fem-y-ngün
708;pelaa;pe-la-a
709;wiñokefuy;wiño-ke-fu-y
710;illamenew;illam-e-n-ew
711;ngillatunlekefuyngün;ngillatu-n-le-ke-fu-y-ngün
712;allkütuleiñ;allkü-tu-le-iñ
713;wirin;wiri-n
714;nentuam;nentu-a-m
715;küdawpuli;küdaw-pu-l-i
716;chemkalafun;chem-ka-la-fu-n
717;kimeltuniekeenew;kimel-tu-nie-ke-e-n-ew
718;kiñekentu;kiñe-ke-ntu
719;femnolimün;fem-no-li-mün
720;kankantufulmi;kankan-tu-fu-l-mi
721;elkey;el-ke-y
722;dewmangekefuy;dewma-nge-ke-fu-y
723;vesicula;vesicula
724;litro;litro
725;feypimefimün;fey-pi-me-fi-mün
726;kütrankulelu;kütranku-le-lu
727;chumi;chum-i
728;yentukuniey;ye-n-tuku-nie-y
729;relkülekefuy;rel-küle-ke-fu-y
730;filu;filu
731;fülangküley;fülang-küle-y
732;niefuy;nie-fu-y
733;küdawpayael;küdaw-pa-ya-el
734;femwelayaymi;fem-we-la-ya-ymi
735;femlayay;fem-la-ya-y
736;ülkantufe;ülkantu-fe
737;ver;ver
738;aeroplano;aeroplano
739;ipaymi;i-pa-ymi
740;grabacion;grabacion
741;ganzu;ganzu
742;mikro;mikro
743;kimelngelayngün;kimel-nge-la-y-ngün
744;küpakimnien;küpa-kim-nie-n
745;kankanufisatufun;kankan-ufisa-tu-fu-n
746;adumülngeiñ;adum-ül-nge-iñ
747;imperial;imperial
748;fentren;fentren
749;inayawleyngün;ina-yaw-le-y-ngün
750;kimelfengelu;kimelfe-nge-lu
751;profesorngeli;profesor-nge-l-i
752;feypikefueyñmew;fey-pi-ke-fu-e-yñ-mew
753;elukeafimün;elu-ke-a-fi-mün
754;inteligentengey;inteligente-nge-y
755;kullimekeiñ;kulli-meke-iñ
756;doctora;doctor-a
757;llikaken;llika-ke-n
758;falde;falde
759;fuerza;fuerza
760;que;qu-e
761;femngechilerkey;femngechi-le-rke-y
762;keche;kech-e
763;yelmün;ye-l-mün
764;kullingeiñ;kulli-nge-iñ
765;kutran;kutran
766;reyipen;reyi-pe-n
767;canta;c-a-n-t-a
768;yenielafiiñ;ye-nie-la-fi-iñ
769;perdon;perdon
770;nienoam;nie-no-a-m
771;compartimos;compartimos
772;ngenngepay;ngen-nge-pa-y
773;tafun;ta-fu-n
774;chadi;chadi
775;apoleay;apo-le-a-y
776;inventayaiñ;inventa-ya-iñ
777;koyam;koyam
778;femkelley;fem-ke-lle-y
779;hierba;hierba
780;ingkayael;ingka-ya-el
781;ngenngelay;ngen-nge-la-y
782;aflayay;af-la-ya-y
783;allküy;allkü-y
784;purayael;pura-ya-el
785;fütrake;fütra-ke
786;tripakeyngu;tripa-ke-y-ngu
787;leliwle;leli-w-l-e
788;larumele;la-rume-le
789;piyawkefiy;pi-yaw-ke-fi-y
790;colonialismo;colonialismo
791;ngeafuy;nge-a-fu-y
792;aleko;aleko
793;noticia;noticia
794;rosendo;rosendo
795;pikefin;pi-ke-fi-n
796;konan;kon-a-n
797;chumleyu;chum-le-yu
798;vivir;vivir
799;pobrelmün;pobre-l-mün
800;entumetuenew;entu-me-tu-e-n-ew
801;hector;hector
802;longkoleael;longko-le-a-el
803;formaeiñmew;forma-e-iñ-mew
804;wenchelele;wenche-le-l-e
805;nienolu;nie-no-lu
806;elmeenew;el-me-e-n-ew
807;chekepelafuy;che-ke-pe-la-fu-y
