;Unnamed: 0;Mapudungun;Traduccion
319;319;  no lamuen feymulle lay iñ chawem ;así murió mi padre.\n
320;320;feypikefuy chawem müli kalku kuydaunolu layay müley kalku pikefuy;Así decía mi padre que existe el  daño, el que no se cuida morirá.\n
324;324;fey kiduleluam kidu tripaürki ñi chawem tati fletealu ;como estaba sola pense que había salido con mi padre a fletar\n
328;328;tüfa fey  depue ka epeke langümkefuy tañi kure tañi chawem kachal;después casí mataba a su mujer\n
332;332;lay tañi püñeñem ka leflay iñ püñeñmu;murieron sus hijos y ella no corrió \n
336;336;iñche ñi chawem niefuy kiñe ñawe wünen ñawe;mi padre tenía una hija mayor \n
340;340;feymu kintuy lawen chawem feymay mongelenu;mi padre busco remedio ahí y de ese entonces viví.\n
341;341;müna kim müna küme machi machi inayaulkefuy iñ chawem ;una machi muy buena andaba a la siga de mi padre.\n
342;342;yamün kiñekemu kay allfüyem wentru tüfa ;Temo avece cuando lastiman lo hombre ahora \n
343;343;ngüvüllulelu inche ñi aweluem noise;Lo que estan con tranca de orina mi abuelo \n
344;344;vemuechi tripayem cha ngünen ;así cuando sale QQQQQQ\n
345;345;tañi kude abuelitaem tati;mi vieja abuelita decía pues\n
346;346;tañi kudekuem ta fau rume femkanon;Mi vieja abuela, no fue mucho lo que le pasó\n
347;347;ka kiduem ta fellentual;para que ellos solos crean\n
348;348;pivunem fey kiñe rume;dije  ni una sola persona \n
349;349;ñi chawem entukefuy ;mi padre sacaba \n
353;353;feymu ta hcem opital müli;así que hospital hay \n
354;354;choykenge choykefe ñi chawem ;era choyque hacia chiyque mi padre \n
355;355;füta kolomallem allküpafimi;\n
357;357;ñi chawem ñukeem ka;mi padre, mi madre \n
358;358;tañi chawem ngemi tüfi kiñe lamngen kidulewelu ;mi padre fue donde una hermana que se encuentra sola.\n
359;359;spaperdey ñi fütayem ;Perdió su esposo\n
360;360;tañi paluem machiürke ;mi tía era machi.\n
361;361;nielu ñi lamngen ñi chawem ;como tenía su hermana mi padre\n
362;362;tañi paluem fey ülütuenu pürüm ;mi tía ahí me masajeó.\n
363;363;nütramtuyu pürüm tañi paluem ;conversamos con mi tía\n
364;364;fem femuechi tueyu tañi tiychi  ;de esta forma lo tomó este\n
365;365;feyta tañi chawem uh rume fentren familia niy;mi padre tenía una familia muy grande\n
366;366;fey machituan pi tañi chawem ;por eso mi padre dijo que me harían un machitun\n
367;367;nütram elmenu nütram tañi paluem ;me dejó conversado, me dio conversación mi tía\n
368;368;feypiki tañi nütram tañi paluem machi ;Eso dijo mi tía machi en su conversación.\n
369;369;miawlngen mankakiawlenu ñi paluem ;me subió al anca mi tía.\n
370;370;ñi  fotijamu ñi paluem ngillalmenu ta tüfachi lawen ;en la farmacia mi tía me compró este remedio\n
371;371;tachi wentruem feyta üytukunuy ;a este hombre mencionó.\n
372;372;femuechi mongelenu tañi paluem ;De esa forma me sanó mi tía\n
373;373;fey tañi chawem kuyfi spaperdey uh ;mi padre hace tiempo que falleció\n
374;374;fey fentekünü amuy tañi chawem ;Tenía esa edad cuando falleció mi padre.\n
375;375;küla tripantu wünenngefuy tañi chawem ;Era tres años mayor que mi padre. \n
377;377;feyta ordenanengeluürke fem müli tati  ;pero todo esto tiene un orden, así está.\n
378;378;uhm fem pichike ina rupan;Alguno pude  percibir. \n 
379;379;konpa püllü yem machi;Cuando la machi hace entrar almas\n
380;380;tutengeyem   si;cuando se le agrada ahí sí.\n 
381;381;mati lawentuyem mapu lawen tulan ;de esos remedios tomé, no tome remedio de la tierra.\n
382;382;nietu mülefuy em ;también hay nietos\n
383;383;doy trem chi che ka ;es una persona más crecida también.\n
384;384;spaosea doy pu trem chi che ;o sea los más adultos\n
387;387;inchekay feyta fem tokakakelan ;Yo no he tocado esto\n
388;388;eymün tüfamu pukem ;ustedes aquí en tiempo de lluvias\n
392;392;pienu iñ mallem mallem ;me dijo mi tío, tío \n\n
395;395;fem felu ngepelay  ;De hacerlo así no hubo.\n
397;397;fey ñi üdeyem che;ahí es donde lo desprecian\n
399;399; maquina trillayem ;las máquinas cuando trillan\n
400;400;eymün we trem tati ;ustedes recién están creciendo pue\n
401;401;ta ruem weya winka kawkawi;ahora que se hacen muy  huinca\n
402;402;uh inche ayinen tañi nem ke;me gusta mi cuestión que\n
403;403;mapuche pingeyem ;cuando les dicen mapuches\n
404;404;ta akuyem ;cuando llegan\n
405;405;kiñekemu ta kutranchewyem engün ;a veces se ponen enfermizos a ellos\n
406;406;ti nafun nem pikingün ;me gustaría obtenerlo dicen\n
407;407;rüle pukem ;resfrío en el invierno\n
408;408;fey vey elungeyem trewa;y eso, cuando  le dan al perro \n
411;411; porque uh  trekaleyem che;porque iba caminando la persona\n
412;412;inchin nam pewem ;nosotros nuestro pehuén \n
413;413;kangentungeyem ;cuando lo encuentra raro \n
414;414;fey püta chaw mayta tañi fem kunu peteu pi ;ese gran padre pues  que me dejo dijo \n
415;415;nienoyem kutran ;Si no tiene enfermedad \n
416;416;pepuyem ;cuando lo va ha ver \n
417;417;küdaumukefunem  ;si trabaja ante pues \n
418;418;putrem wentrulewen dewma ;soy mayor de edad ya \n
419;419;feymu dios fem llistuniyu y ;ahí Dios lo limpia y, \n
420;420;kümelkaleyiñ pukem müten ;ojála que estemos bien en el invierno \n
421;421; pera trangliñ küpayem ngewetulay;cuando sale helada no hay la pera \n
422;422;ka amuyem tamu yemeyiñ pichiñ yewün ;cuando vamos, también vamos a buscar un poco de cosas\n
423;423;fey llemay ka chumngechi utrekeyiñ pukem ;Eso es también cómo se cae en el invierno\n
424;424;pukem tati putremiyem che afkey tati ;en el invierno cuando está viejo la persona se acaba\n
425;425; si fem  despues wüla rupan kutrankawün ;Si después pase de lo tanto del sufrimiento\n
426;426;ka putuayem kullingekelu varga ;pues también lo pagaban varga\n
427;427;vem chi ;Toda la\n
428;428;ka müli veyti pütrem ;también existe ese cigarrillo\n
429;429;kuyvi ta vütakeche rangiantüyem ;antes los ancianos a medio día\n
436;436;tati pütrem ka tati p ka tati ;este cigarro ese pues ese\n
438;438;tañi wekufü tañi agueluem ;el diablo, su finado abuelo.\n
439;439;uficha amediay ñi chauem ;pidió ovejas en media mi finado padre,\n
440;440;vez kulliñ niekefun kulliñ trawümkillem ;vez animales tenía animales los juntaba, \n
441;441;mülekefuy ñi povre chauem ;había estado mi pobre padre. \n
442;442;coughpütrem femkünueneu ;el cigarro me dejo así \n
443;443; si  tiene pütrem pütremafimi ;si tienes cigarro con eso lo espanta,\n
445;445;ñi chauem mongeli petu may ;mi  padre estaba vivo todavía claro, \n
446;446;tañi perdenmu tañi finawem ;cuando perdí a mi finado.\n
447;447; sí feyta ñi wetruem ;Sí este mi hombre\n
448;448;awem kay no ;Admirable no.\n
449;449;awem kay femyefui may chi ;Que admirable, sí, así era.\n
450;450;trafentu trafentuyem pichikeche trafentuki tati ;Cuando sé ojan los niños, ellos también les da.\n
451;451;mluafiyem papel che pu ;Se demoran en dar el papel a las personas pues.\n
454;454;pi tañi chawem ;dijo mi padre\n
455;455;tremomenu tañi chawem tati ;me crió mi padre,\n
456;456;newe kimlafuy  tañi chawem ;no sabía mucho mi padre\n
457;457;lamngenem tati ;mis hermanas\n
458;458;pingey tañi chawem ;le dijeron a mi padre\n
459;459;fey piwelay ñi machituatew ñi chawem ;por eso mi padre no quiso realizarme un machitun.\n
460;460;pu gringumu koni ñi chawem ;con los gringos serelacionó mi padre.\n
461;461;ta reküluwkefuy tañi chawem ;mi padre no participaba mucho.\n
462;462;traguien yeenu tañi chawem ;A Traiguen me llevó mi padre.\n
463;463;inche tañi chawem müten ramtungi ;sólo le preguntó a mi padre.\n
464;464;inche ñi chawem ka ramtuenu ;mi padre me preguntó a mí.\n
465;465;kidu dallupuy ñi chawem ;Solo fue mi padre a conversar.\n
466;466;fey yemetuenu ñi chawem ;Ahí me fue a buscar mi padre\n
467;467;eymi tami chawem kasikengekefuy pienu ;tu padre era kasike me dijo.\n
468;468; aunque fengefuy tañi chawem ;aunque mi padre era así, \n
469;469;feyta yiweafuy em papay ;\n
470;470;inche kutranki ñi lonko areyem antü ;yo tengo dolor de cabeza los días de calor\n
471;471;fem  este alün mollfün wütrünentule;si le sale mucha sangre, si la pierde.\n
472;472;trekayem uh komo incha kevuy ñi namun ;cuando caminaba como que se hinchaba mis pies.
473;473;areyem kam ;por la calor o\n
474;474;firküyem chi;por el frío\n
475;475;uh rume tripayem antü ;cuando sale en pleno sol \n
476;476;vey ka  este mawiyem pukem ;también eso entra si andan en el invierno\n
477;477;inche vey kutraniem ;yo cuando estoy enfermo \n
478;478;eymi tüfa uh kutraniem lonko ;tu con este dolor de cabeza\n
479;479;uh lonko kuttraniem ;Para el dolor de cabeza\n
480;480;rupaki chi lonko kutraniem ;se pasa el dolor de cabeza\n
481;481;amuyem che;cuando va la gente\n
482;482;y kutraniem elungekerkevun lawen ;y si tenía enfermedad me daba remedio\n
483;483; pero che kimnoyem ;pero la gente no conoce \n
484;484;foro kutraniem ;Para la enfermedad de huesos\n
485;485;pirutuleyem foro kutranki;cuando entran caries en los dientes cuando se enferma\n
486;486;vey kutraniem voro;si se enferman los dientes\n
487;487;rume vürey mayta vem vemki;es muy amargo así lo hace eso.\n
488;488;biem kuyvi femkerkelavuy che ;Bien antes esto no hacía la gente \n
489;489;ngolliyem che;a la gente que es borracha.\n
490;490;vem chi che vemkepelay ;la gente que hace eso debe sentirse igual \n
491;491;inche  bien kürüftuyem ;yo agarre un viento \n
492;492;kiñe weda müleyem ;cuando esta mal  \n
493;493;pu ruka che kiñeweda tripayem wekun ;la gente de la casa en alguna salida afuera \n
494;494;lawen tungeyem ;se coloca remedio \n
495;495;fey kutraniem chi pilun ;cuando se enferma del oído \n
496;496;chi pilun koniem chi wüllen ;si en el oído le coloca orina  \n
497;497;tukulelngeyem chi lawen che;hay gente que hace remedio que sabe colocar \n
498;498;ka kutraniem ;que también se enferme \n
499;499;uh kiñe weda areyem che ;una mala calor pesca la gente\n
500;500;uh kiñe che areleyem ;una mala calor pesca a la gente\n
501;501;pafmuyem che ;cuando le da pasmo a la gente.\n
502;502;fayiyem iyagel ;Cuando la comida esta ácida.\n
503;503;vayiyem iyagel ;de la comida ácida \n
504;504;uh vey pütokoneyem chi lawen ;Hay que beber el remedio \n
505;505;inche femngechi kutrantuyem ;yo cuando me enfermo\n
506;506;fey pütokolngeyem  feychi lawen;y es cuando hay que beber ese remedio\n
507;507;ngüf willeyem ;cuando se tranca la orina \n
508;508;vey kiñe wedam kutraniem ;es una mala enfermedad \n
509;509;küpa williyem ;cuando viene la orina \n
510;510;famngechi lawen tungeyem ;si se colocan este remedio \n
511;511;veyta pun miawyem ;si andan en la noche\n
512;512;vey re lef tripayem ñi ange ;si así rápido sale con su cara \n
513;513;vey ngümaki chi pichiche hojaleyem ;cuando están ojados lloran los niños \n
514;514;vey vemngechi kutranyem ;así es como se enferman \n
515;515;kiñepchi uh alüyem kiñe nge ;un ojo se le agranda  \n
516;516;vey chi pichi che kutranküleyem ;así el niño cuando esta enfermo \n
517;517;pukem koni ;En invierno entró, \n
518;518;vey wüñotuchi pukem ;Y al volver el invierno \n
520;520;noise chumül ta feypivenu tañi lamngenem ;En días pasados me había dicho mi finado hermano,\n
521;521;tañi lamngenem tañi lamngen ;mi finado hermano, mi hermano,\n
522;522;fey wardangeketuy noise  pukem sakumu;y despues se guarda en saco para el invierno\n
523;523;wechawentruleluem chau;estaba en condiciones totalmente negativo\n
524;524;pütrem  vicio rume ;ni siquiera de cigarro, \n
525;525;chumngechi ñi mongeluukefel tañi kutraniem ;de cómo trataban a los enfermos y enfermedades,\n
526;526;ta pe kimiem ta chi dungu ;\n
527;527;inchiñam cheu püle rume kompuyem ;Nosotros en cualquier parte que vayamos\n
528;528;iñchiñ taiñ weningen trawuyem ;nosotros los amigos nos reunimos\n
529;529;peyem tain peñi ;cuando ven a nuestros hermanos\n
530;530;peyem taiñ pu lamngen ;ven a nuestras hermanas,\n
531;531;lleweyem ta iningenengün puedelafuy tañi femal ;a nadie debiera darle verguenza\n
533;533;müñanagmeki tañi vem tañi kalül ;estaba debil mi asi era mi cuerpo.\n
534;534;iyagel iymuvuy em  pu;alimento comía pues.\n
536;536;tüva ñi chawem ka ;ahora mi finado padre también \n
537;537;tufiyem ti ngüfüllin pingi;ese tranca orina se llama.\n
538;538;arto jodiw müleyem  rümgoyem che ;harto grave cuando a estado cuando hace harina cruda la gente \n
539;539;trawüyem iyagel uh ;cuando se juntan la comida. \n
540;540;fey ñi chawem yemekvuy ;eso mi finado padre había ido a buscar \n
541;541;todo rem chi che tañi chengen ;Todo .....................................\n
542;542;fayiyem yaguel ;para hacer fermentar\n\n
543;543;iyem he wechakunukiyu fayin;\n
544;544;chunte putrem che rume kim lawen nolu;harta gente que no sabe hacer remedio \n
545;545;inche tañi pu püñem ta femngechi elpütrachekefuy tati;la hija mí, así de esa forma sobaba el estomago\n
547;547;putrem ñuke niefuymi tati;hartas madres tienes ese\n
548;548;rume areyem kaloreayem ;cuando hace mucho calor, cuando se acalora.\n
551;551;re putrem putremküleweyngün ;estan bastante crecidos ellos,\n
552;552;doy kümelekayafuyem pe ka;más estaria bien pues también. \n
553;553;kiduem femlay kiñekeñpüle femi  ;ellos no lo hicieron pasó ha un lado. \n
554;554;feyta kiñekem piwkallelamfemngechi ;esto alguna veces le digo las palabras así,\n
555;555;kutranyem kuyfi ;cuando se enfermaban antes\n
556;556;fey fem künumi würküwelafiñ;eso lo dejé así no lo mandé más....\n
558;558;pukem tati rume wedalekefuy kuyfi ;en el invierno pues antes estaba muy malo. \n
559;559;kuyfiem pingen ta ta;como antes dicen pues.\n
560;560;kutranlu em femngechi repente kutranrumey;derrepente se enfermó de esa forma\n
561;561;ta uhm welngiyem che ;donde se viera la gente\n
562;562;trafoyem chumechi mongeluwkefuy che tüfamu ;cómo se mejoraban aquí\n
563;563;müleluem kimpan inche kim wingka dungulafun;cuando estaba vine a conocer, no sabia hablar en chileno\n
565;565;fem tripawi ti kutranpeka;asi salio alli la enfermedad pues.\n
566;566;kom küem pelo nieymi kom ;toda su vista buena tienes, todo pues.\n
567;567;fey poypoyem che throat;Sé incha la gente con eso.\n
568;568;tañi inche ñi chawem engu finaw peiro ka;con mi padre y también el finado Pedro\n
569;569;femlay fem pewütuwita kimllefuy mayta uno;No pasa eso, claro que con la adivinación sabe uno.\n
570;570;ñi fotüm em ;el que era mi hijo\n
571;571;pukem tati peñi ;en el invierno hermano\n
572;572;trem pürayin ta kimiyin ta piren;desde que crecimos conocemos la nieve\n
573;573;veychi uh ka pukem ngi ;ese otro invierno pues\n
574;574;vey tüva nüfakiyin ta pukem  ;Pues ahora cazamos en el invierno\n
575;575;veyta pütra ilotulekiyin ta pukem ka;comemos harta carne en el invierno\n
576;576;pukem ume pütra ayiwünndungufel;en el Invierno era una cosa alegre\n
579;579;kutraniem tati  poblacion;se enfermaba la poblacion.\n
582;582;ñi chawem wüleneu ;mi finado padre me dió\n
583;583;pienu ñi chawem ;me dijo mi finado padre,\n
585;585;chuchimu tem weya piti wingka ;En donde, cualquier niño chico huinca,\n
586;586;ka küpatuayem  ;y cuando queremos volver  \n
587;587;pukem  hace faltaketuy;ya hace falta durante el invierno.\n
588;588;ngillandunguyem  tañi chau;cuando mi padre hizo el discurso del casamiento\n
590;590;lefluem fey tati ;el que corre ese pues \n
593;593;tañi chauem ;el que era mi padre \n
595;595;feyam pukem tati femiaukeyu;como era invierno pues, andábamos así\n
596;596;rangi pukem juniomu;En pleno Invierno, en Junio\n
598;598;trafentuyem chi pichi che may ;así si se encuentra con trafentu un niño\n
599;599;fey este hojaleyem chi pichi che ;sí este esta ojado el niño\n
600;600;tukulelngeki lili trapayem ;Si le colocan y le machacan esos\n
601;601;fey lif mongeyem ;así sanamente se mejora \n
602;602;awem tüfi küla trapi ;Así es con estos tres de ají.\n 
603;603;nentuymangeyem chi kutran ;cuando ya se le he sacado la enfermedad.\n
604;604;awem entuymangi ñi as namun ;Y así le sacaron la forma del pie\n
605;605;awem fey tüfi yif sew femlu ;Y así es esto ya lo hizo \n
606;606;fey hoja leyem fey tüfey ;Si ésta está ojada\n
607;607;hoja leyem may feymu mongetuki ;Si está ojada pues, se mejora.\n
608;608;mongeyem ñi hoja lem ;Se mejora de su mal de ojo \n
609;609;tukungeyem chi trapi kütralmu ;si se coloca el ají en el fuego\n
610;610;uh nümünoyem ;si no está pasado \n
611;611;fey kimgeki ñi hoja lem ;así se sabe si esta ojada \n
612;612;kimngeyem hoja lem ;si se sabe que está ojada \n
613;613;feyti wesa lelingeyem che ;así por la mala mirada de la gente\n\n
614;614;kam sakingeyem illkulen ;o una niña regalona que esta contenta \n
615;615;weda leli ngeyem ;Por la mala mirada que le llevan \n
616;616;ka ayitukangeyem ;o que lo queren lo festejan\n
617;617;uh tripayem pun ;que salen en la noche\n
618;618;awem a pichike che müten hoja pi ;Así los niños no más se ojan dice\n
619;619;itromeem nge kiñe che ;le entra una mugre en el ojo a una gente\n
620;620;avece koniem ;a veces entra\n
621;621;kam pülü chi konyem ;o una mosca esa dentra\n
622;622;fey wüniem ;así en la amanecida\n
623;623;feyentufinoyem chi lawen ;llevara más en consideracion ese remedio\n
624;624;kiñe che tukuyem ;una persona se lleva dentro \n
625;625;trafoyem che ka müli lawen ;Cuando se quiebra la gente también hay remedio. \n
626;626;mülpün müleki uh kütraltuyem che nga ;El ollin esta en el fogon de la gente\n
627;627;kütraltuyem müten che ;En el fogon de la gente no más\n
628;628;fey kurü ki chi pichike mamüll pitruntuyem ;es negro los pequeños palos que llevan las tiras \n
629;629;feyentuyem feyenturki chi lawen ;Si se lleva el correcto correcto el el remedio. \n
630;630;feyentungenoyem mongelchekelay pingeki ;Si no es correcto no se mejora la gente se dice\n
631;631;awem wesakunurkefuy tami chaw tüfey ka ;Y así no le habra entrado algo mal a tu padre este.\n
632;632;feula pichi kiñepchi che uh naceyem müten ;ahora algunos niños apenas nacen no más\n
634;634;inche ta we trem chau ;yo cuando recién crecí, padre.\n
635;635;pukem fey doy kimngeki;en el invierno se conoce más\n
636;636; sino  que wütremu pukem ;sino que con el frío del invierno\n
637;637;feymuem eleleteu iñchiñ feymu nentukelu ;por eso es que nos dieron a nosotros por eso lo sacamos\n
638;638;kuyfike wüneküleyekefuluem p ka ;antiguos los que personas mayores pues\n
639;639;kuyfi tañi chawem ;antes, mi difunto padre\n
640;640;tañi iñche tañi chawem ta;mi, mi difunto padre pues,\n
641;641;mariano rosa pingefuy tañi chawem ;Mariano Rosa se llamaba mi difunto padre\n
642;642;tüfachi mapumeu iñche tañi chawem ta feypikey ;en estas tierras, decía mi difunto padre,\n
643;643;kidu ta kimpay tañi chawem p;él conoció, mi difunto padre,\n
644;644;kidu ta kimpay tañi chawem doy;él conoció más, mi difunto padre\n
