Language;ISOCODE
Fasu;faa
Nobiin;fia
Fijian, Boumaa dialect;fij
Finnish;fin
French;fra
Western Frisian;fry
Yaathe;fun
Fur;fvr
Gadsup;gaj
Diraytata;gdl
Mehri, Mehreyyet dialect;gdq
Ghomara Berber;gho
Kiribati;gil
Scottish Gaelic;gla
Nanai;gld
Irish, Donegal dialect;gle
Gilaki;glk
Manx;glv
Gooniyandi;gni
Gojri;gnu
Qua Gelao;gqu
Grebo;grj
Wayuu;guc
Wanyjirra;gue
Guarani, Paraguayan;gug
Gumuz, Southern;guk
Guambiano;gum
Kunwinjku;gup
Ache;guq
Maléku Jaika;gut
Kuku Yalanji;gvn
Kalami;gwc
Gunin;gww
Kayardild;gyd
Hatam, Tinam dialect;had
Oromo, Harar;hae
Hausa;hau
Hawaiian;haw
Hebrew (modern Ashkenazic);heb
Hidatsa;hid
Hindi;hin
Hixkaryana;hix
Humburi Senni;hmb
Manange;hmm
Hamtai;hmt
Mong Njua;hnj
Hopi;hop
Hobyot;hot
Sorbian, Upper dialect;hsb
Huambisa;hub
Hungarian;hun
Hupa;hup
Huastec;hus
Witoto, Murui dialect;huu
Hunzib;huz
Havu;hvn
Armenian, Eastern;hye
Iaai;iai
Iatmul, Western dialect;ian
Iban;iba
Igbo;ibo
Moxo;ign
Liangshang Yi;iii
Eastern Canadian Inuktitut, North Labrador dialect;ike
Ik;ikx
Imonda;imn
Inga;inb
Indonesian;ind
Ingush;inh
Iñapari;inp
Irantxe;irn
Isoko, Uzere dialect;iso
Italian;ita
Itonama;ito
Iwam, May River;iwm
Madi (Brazil), Banawa dialect;jaa
Jacaltec, Eastern;jac
Yabem;jae
Yanyuwa;jao
Jebero;jeb
Tol;jic
Jingulu;jig
Japanese;jpn
Japreria;jru
Júma;jua
Juruna;jur
West Greenlandic Inuktitut;kal
North Greenlandic Inuktun;kal3
Kannada;kan
Kashmiri;kas
Georgian;kat
Camsa;kbh
Koiari;kbk
Kafa;kbr
Dla, Menggwa dialect;kbv
Khanty, Northern;kca
Koch;kdq
Kadaru;kdu
Cape Verde Creole, Santiago dialect;kea
K'ekchi;kek
Kera;ker
Kewa, Western;kew
Kota (India);kfe
Koya;kff
Koromfe;kfz
Krongo;kgo
Abun;kgr
Kalamang;kgv
Khasi;kha
Ly;khb
Tukang Besi, Wanci (Northern) dialect;khc
Khalkha;khk
Kaliai;khl
Songhay, Koyra Chiini dialect;khq
Kharia, Dudh;khr
Kickapoo;kic
Kilivila;kij
Kiowa;kio
Kyrgyz;kir
Southern Kiwai, Island dialect;kjd
Khakas;kjh
Kham, Takale dialect;kjl
Western Keres;kjq
Kokota;kkk
Teke, Kukuya dialect;kkw
Klamath;kla
Rumu;klq
Kwoma;kmo
Kanakuru;kna
Kanuri;knc
Konkani;knn
Baale;koe
Kogi;kog
Korean;kor
Kpan;kpk
Sre;kpm
Kobon;kpw
Koryak;kpy
Karachay-Balkar, Karachay dialect;krc
Kurukh;kru
I'saka;ksi
Kisi, Southern dialect;kss
Kedang;ksx
Kukata;ktd
Kalkatungu;ktg
Korosh Balochi;ktl
Kuot, South;kto
Kunama;kun
Kunimaipa;kup
Kutenai;kut
Kunza;kuz
Kwaio;kwd
Awa Pit;kwi
Kwakw'ala;kwk
Karuk;kyh
Karao;kyj
Ladakhi, dialect of Leh;lbj
Lardil;lbz
Lelemi;lef
Lepcha;lep
Lezgian;lez
Lugbara, Western;lgg
Lahu;lhu
Hlai, Lauhut (Baoding) dialect;lic
Lithuanian;lit
Lakota, Teton;lkt
Lele (Chad);lln
Limilngan;lmc
Lumun;lmd
Lelepa;lpa
Luiseño;lui
Lavukaleve;lvk
Lawu;lwu
Maithili;mai
Makassarese;mak
Marathi;mar
Mazahua, Central;maz
Maxakalí;mbl
Damana;mbp
Maká;mca
Mbum;mdd
Maba;mde
Midob, Kaargedi dialect;mei
Mbane;mfc
Ma'di, Southern (Lokai) dialect;mhi
Moghol;mhj
Mauwake;mhl
Mandan;mhq
Digaro;mhu
Mor (Indonesia);mhz
Miami-Illinois;mia
Mofu-Gugur;mif
Mixtec, Chalcatongo (Western Alta);mig
Miskitu;miq
Mangghuer, Minxe dialect;mjg
Karbi, Hill dialect;mjw
Pere;mka
Taba, Waikyon dialect;mky
Tamambo, western;mla
Maltese, Standard;mlt
Meithei;mni
Munji (Afghanistan), Northern;mnj
Mansi, Northern;mns
Malakmalak;mpb
Mangarrayi;mpc
Maung;mph
Dadibi;mps
Mian;mpt
West Makian;mqs
Maricopa;mrc
Māori;mri
Una (Papua);mtg
Murle;mur
Murrinhpatha;mwf
Kala Lagau Ya;mwp
Malgbe;mxf
Mada (Cameroun);mxu
Burmese;mya
Makah;myh
Pirahã;myp
Muniche;myr
Mundurukú;myu
Mumuye;mzm
Movima;mzp
Southern Nambiquara;nab
Hainanese;nan
Khoekhoe;naq
Naasioi;nas
Navajo;nav
Central Nicobarese, Nancowry dialect;ncb
Nahuatl, North Puebla;ncj
Nakkara;nck
Natchez;ncz
Ndut;ndv
Newari, Kathmandu dialect;new
Nez Perce;nez
Ngizim;ngi
Nhanda;nha
Nahuatl, Tetelcingo;nhg
Noni;nhu
Nganasan;nio
Nandi;niq
Nimboran;nir
Nivkh;niv
Ngiti;niy
Ao, Mongsen dialect;njo
Nyishi;njz
Dutch;nld
Namakir;nmk
Maidu, Northeastern;nmu
Nyangumarda;nna
Nukunu;nnv
Nzadi (B865);nod
Norwegian;nor
Nepali, Kathmandu dialect.;npi
Nara;nrb
Natügu;ntu
Nung;nut
Nunggubuyu;nuy
Nyanja, Chichewa dialect;nya
Ama;nyi
Nyangi;nyp
Ocaina;oca
Ogbia;ogb
Selknam, Central dialect;ona
Oneida;one
Tohono O'odham;ood
Otomi, Mezquital;ote
Wayampi;oym
Paresí;pab
Pacoh;pac
Paumarí;pad
Papiamentu;pap
Wari';pav
Pech, Culmí dialect;pay
Paez;pbb
Panare;pbh
Pashto, Southern;pbt
Dhurwa;pci
Chichimeco-Jonaz;pei
Farsi, Western;pes
Palula, Ashreti dialect;phl
Yine;pib
Piaróa;pid
Piapoco;pio
Pitjantjatjara;pjt
Palawan, Brookes Point;plw
Paamese;pma
Polish;pol
Southeastern Pomo;pom
Passamaquoddy;pqm
Warazú;psm
Wanshöhöt;pui
Pawaian, Oyobe dialect;pwa
Paiwan, Southern;pwn
Phlong;pww
Quechua, Cochabamba;quh
Quechua, Imbabura;qvi
Canela-Krahô;ram
Rao;rao
Rapanui;rap
Maropa;rey
Resigaro;rgr
Rama;rma
Rotokas;roo
Roro;rro
Toratán;rth
Rotuman;rtm
Russian;rus
Bocotá, Chiriquí dialect;sab
Sandawe;sad
Sango;sag
Yakut;sah
Santali;sat
Kele (Papua New Guinea);sbc
Santa;sce
Slave, Hare dialect (North);scs
Sedang;sed
Seneca;see
Seri;sei
Selkup, Taz (Northern) dialect;sel
Sentani;set
Chaha;sgw
Sheko;she
Tashlhiyt;shi
Shipibo-Konibo;shp
Shasta;sht
Sinhala;sin
Denjongke;sip
Siwi;siz
Epena;sja
Kildin Saami;sjd
Sierra Miwok, Southern;skd
Saliba (Colombia);slc
Slovene;slv
Skolt Saami;sms
Sindhi;snd
Noon;snf
Siona;snn
Seenku, Southern dialect;sos
Spanish (Peninsular Castilian);spa
Selepet;spl
Supyire, Kampwo dialect;spp
Sapuan;spu
Squamish (Sqxwu7mish);squ
Sora;srb
Owa;stn
Silt'i;stv
Suena;sue
Sundanese;sun
Svan, Lower Bal dialect;sva
Savosavo;svs
Swedish;swe
KiSwahili;swh
Samre;sxm
Semelai;sza
Tabasaran;tab
Tariana;tae
Tamil;tam
Tangale, Shongom dialect;tan
Dharawal;tbh
Gaahmg;tbi
Ticuna;tca
Tanacross;tcb
Tlapanec, Malinaltepec;tcf
Tulu;tcy
Tondano;tdn
Huehuetla Tepehua;tee
Tehuelche;teh
Themne;tem
Tondano;ten
Tetun, Western dialect;tet
So;teu
Tetserret;tez
Tigak;tgc
Tagalog;tgl
Thai, Standard;tha
Kuuk Thaayorre;thd
Thakali, Tukche dialect;ths
Tigre;tig
Tyefo, Dramandougou dialect;tiq
Tiwi;tiw
Teduray;tiy
Timucua (Mocama dialect);tjm
Totonac, Misantla dialect;tlc
Tlingit;tli
Jomang;tlo
Tanimuca-Retuarã;tnc
Lenakel;tnl
Taino;tnq
Toba;tob
Tolowa;tol
Totonac, Papantla dialect;top
Towa;tow
Tapiete;tpj
Tampulma;tpm
Tupari;tpr
Trumai;tpy
Toaripi;tqo
Tonkawa;tqw
Trio;tri
Ts'amakko;tsb
Tausug;tsg
Tsimshian, Coast;tsi
Tsou;tsu
Purépecha;tsz
Tobati;tti
Tera;ttr
Tunica;tun
Turkish;tur
Tiwa, Northern;twf
Tuva;tyv
Tzeltal, Aguacatenango dialect;tzh
Tzutujil, Eastern (San Juan la Laguna dialect);tzj
Tamazight (Central Atlas);tzm
Udihe, Southern;ude
Uyghur, Standard dialect of Urumqi;uig
Ukrainian;ukr
Lule;ule
Meriam Mer;ulk
Ulwa (Nicaragua);ulw
UMbundu;umb
Ngarinyin;ung
Mundari;unr
Urarina;ura
Urubu-Kaapor;urb
Urak Lawoi';urk
Northern Uzbek, Tashkent dialect;uzn
Dumo;vam
Warihío, River dialect;var
Vietnamese;vie
Vilela;vil
Martuthunira;vma
Mbabaram;vmb
Wapishana;wap
Warao;wba
Wakhi;wbl
Wergaia, Djadjala dialect;weg
Mid-Wahgi;wgi
Wirangu;wgu
Wichita;wic
Wik-Munkan;wim
Wambaya;wmb
Wantoat;wnc
Wano;wno
Usan;wnu
Wintu;wnw
Kamang;woi
Wolof;wol
Garrwa;wrk
Worrorra;wro
Wardaman;wrr
Waris;wrs
Waray (Australia);wrz
Wuvulu;wuv
Warrwa;wwr
Ngiyambaa;wyb
Xavante;xav
Kawaiisu;xaw
Kugu Nganhcara;xmh, uwa, ugb, xmp, wij
Kunuz Nubian;xnu
Kpelle;xpe
Sanuma;xsu
Kadugli;xtc
Kwaza;xwa
Wemba Wemba;xww
Kéo;xxk
Yuhup;yab
Yagua;yad
Sumu;yan
Yaqui;yaq
Saryg Yugur;ybe
Yucuna;ycn
Yimas;yee
Yerukala;yeu
Yagaria, Move dialect;ygr
Yidiny;yii
Tundra Yukaghir;ykg
Ulwa (Papua-New Guinea);yla
Yelî Dnye;yle
Limi;ylm
Yana, Northern dialect;ynn
Chukchansi;yok
Yoruba;yor
Yareba;yrb
Sirenik;ysr
Yessan-Mayo;yss
Yucatec;yua
Yuchi;yuc
Yurutí;yui
Yulu;yul
Yurok;yur
Kolyma Yukaghir;yux
Shira Yugur;yuy
Yawa;yva
Yawuru;ywr
Kadu (Myanmar);zkd
Kaurna;zku
Gunya;zmc
Maranungku;zmr
Azande;zne
Zoque, Copainalá;zoc
Zuni;zun
