ISO639.3;language
aqc;Archi
ard;Arabana
are;Arrernte (Western)
ari;Arikara
arl;Arabela
arp;Arapaho
arr;Karó (Arára)
rkb;Rikbaktsa
arv;Arbore
arw;Lokono
ary;Arabic (Moroccan)
asa;Pare
ase;Sign Language American
asf;Auslan
asu;Asuriní
atq;Aralle-Tabulahan
atw;Atsugewi
aty;Anejom
ast;Asturian
aul;Aulua
aun;One
auw;Awyi
auy;Auyana
avn;Avatime
ava;Avar
avt;Au
avu;Avokaya
awb;Awa
awa;Awadhi
awi;Awin
awn;Awngi
 Kunfäl; Kunfel)
 Kunfäl; Kunfel)
axk;Aka
ayl;Arabic (Eastern Libyan)
ayn;Arabic (San'ani)
ayo;Ayoreo
azb;Azari (Iranian)
azr;Adzera
azz;Nahuatl (Sierra de Zacapoaxtla)
bas;Basaa
bae;Baré
bag;Tuki
bwi;Baniwa
ybb;Yemba
bao;Barasano (Northern)
bar;German (Bavarian)
baw;Mbili
bax;Bamun
baz;Tunen
bba;Bariba
bbc;Batak (Toba)
bbd;Bau
bbl;Tsova-Tush
bbn;
bbo;Bobo Fing
baa;Sisiqa
bci;Baule
bcj;Bardi
bck;Bunuba
bcm;Banoni
bco;Kaluli
bcq;Gimira
bcs;Kohumono
bcw;Bana
bcx;Pamona
bis;Bislama
bde;Bade
ckb;Kurdish (Central)
bdh;Baka (Sudan)
bdk;Budukh
bdl;Bajau
bdm;Buduma
bdq;Bahnar (Plei Bong-Mang Yang)
bds;Burunge
bdu;Bakundu
bef;Benabena
beq;Beembe
blc;Bella Coola
bng;Benga
bet;Bété (Guiberoua)
bew;Betawi
bex;Jur Mödö
bfa;Bari
bfd;Bafut
bfq;Badaga
bfu;Gahri
rem;Remo
bal;Baluchi
bgq;Bagri
bgz;Banggai
bhb;Bhili
bhg;Binandere
bho;Bhojpuri
bfi;Sign Language British
bhp;Bima
bhw;Biak
bia;Badimaya
bib;Bisa
bid;Bidiya
bif;Biafada
bii;Bisu
bim;Bimoba
brf;Bira
bpr;
bjb;Banggarla
bjh;Bahinemo
bji;Burji
bjr;Binumarien
bjt;
bjy;Dharumbal
bkc;Baka (Cameroon)
bkd;Binukid
bkk;Brokskat
bik;Bikol
bkm;Kom
bkq;Bakairí
blb;Bilua
bla;Blackfoot
bli;Bolia
bll;Biloxi
blw;Balangao
blz;Balantak
bmu;Burum
bem;Bemba
bnc;Bontok
bnh;Banawá
bni;Bobangi
bnq;Bantik
boa;Bora
boi;Barbareño
bol;Bole
bom;Birom
loy;Baragaunle
bot;Bongo
boz;Bozo (Tigemaxo)
bpp;Kaure
bug;Bugis
bpu;Bongu
bqc;Boko
bqp;Busa
;Kata Kolok
brb;Brao
brc;Berbice Dutch Creole
brg;Baure
bri;Bakueri
brm;Barambu
brn;Boruca
bre;Breton
bru;Bru (Eastern)
brv;Bru (Western)
brx;Bodo
bsc;Basari
bsh;Kati (Afghanistan)
bsp;Baga Sitemu
bsw;Bayso
bsz;Basque (Souletin)
bth;Biatah
bya;Batak
btz;Alas
bue;Beothuk
buf;Bushoong
puu;Punu
bxk;Bukusu
bum;Bulu
buo;Buin
bwr;Bura-Pabir
bvb;Bubi
bvq;Birri
bvr;Burarra
bvs;Sign Language Flemish
bvx;Babole
bwe;Karen (Bwe)
bwo;Shinassha
bwu;Buli (Ghana)
bak;Bashkir
bua;Buriat
prx;Purki
byn;Bilin
byr;Baruya
ban;Balinese
bzf;Boiken
bzk;Mískito Coast English Creole
bzq;Buli (Indonesia)
bzr;Biri
bzs;Sign Language Brazilian
caa;Chortí
cab;Garífuna
cac;Chuj
cad;Caddo
cag;Chulupí
cal;Carolinian
cam;Cèmuhî
can;Chambri
cao;Chácobo
crx;Carrier
cas;Mosetén
cav;Cavineña
cax;Chiquito
cay;Cayuga
cbc;Carapana
cbd;Carijona
chb;Muisca
cbg;Chimila
cbi;Cayapa
cbk;Chavacano
cbn;Nyah Kur (Tha Pong)
cbr;Cashibo
cbv;Kakua
cco;Chinantec (Comaltepec)
ccx;Zhuang (Northern)
cdm;Chepang
cdn;Chaudangsi
cdo;Fuzhou
ceb;Cebuano
chr;Cherokee
chc;Catawba
chf;Chontal Maya
chh;Chinook (Lower)
chq;Chinantec (Quiotepec)
crw;Chrau
cht;Cholon
clw;Chulym
chy;Cheyenne
cic;Chickasaw
cir;Tinrin
cit;Bangla (Chittagong)
cja;Cham (Western)
cje;Chru
cjh;Chehalis (Upper)
cji;Chamalal
cjm;Cham (Eastern)
cjo;Campa Pajonal Asheninca
cjp;Cabécar
cjs;Shor
cjv;Chuave
;Cakchiquel
cnk;Khumi
cko;Anufo
cks;Tayo
cla;Ron
cld;Chaldean (Modern)
clk;Idu
clm;Clallam
clo;Chontal (Huamelultec Oaxaca)
cmi;Embera (Chami)
cnt;Chinantec (Tepetotutla)
cob;Chicomuceltec
cod;Cocama
coe;Koreguaje
col;Columbia-Wenatchi
coo;Comox
cop;Coptic
cou;Konyagi
coz;Chocho
cpa;Chinantec (Palantla)
chp;Chipewyan
crc;Lonwolwol
crd;Coeur d'Alene
crj;
crg;Michif
crh;
mus;Creek
cor;Cornish
cro;Crow
crq;
crs;Seychelles Creole
csb;Kashubian
csh;Hyow
csi;Miwok (Bodega)
csl;Sign Language Chinese
csm;Miwok (Central Sierra)
cso;Chinantec (Sochiapan)
csy;Chin (Siyin)
cta;Chatino (Tataltepec)
ctd;Chin (Tiddim)
cti;Chol
cto;Catio
ctp;Chatino (Sierra Occidental)
cua;Cua
cub;Cubeo
cui;Cuiba
cul;Culina
cup;Cupeño
cuc;Chinantec (San Felipe Usila)
cut;Cuicatec
cya;Chatino (Nopala)
ces;Czech
daa;Dangaléat (Western)
dbq;Daba
ady;Adyghe (Abzakh)
ady;Adyghe (Shapsugh)
ady;Adyghe (Temirgoy)
dag;Dagbani
dai;Day
daj;Daju (Dar Fur)
ajp;Arabic (Negev)
dzg;
ale;Aleut (Eastern)
dny;Dení
dap;Nishi
apc;Arabic (Beirut)
apc;Arabic (Lebanese)
apc;Arabic (Syrian)
hye;Armenian (Iranian)
dau;Sila
dav;Dabida
bar;German (Upper Austrian)
bar;German (Viennese)
bdy;Bandjalang (Casino)
bdy;Bandjalang (Waalubal)
bdy;Bandjalang (Yugumbir)
bdy;Gidabal
bfa;Kukú
dbj;Begak-Ida'an
eus;Basque (Basaburua and Imoz)
eus;Basque (Bidasoa Valley)
eus;Basque (Gernica)
eus;Basque (Hondarribia)
eus;Basque (Lekeitio)
eus;Basque (Northern High Navarrese)
eus;Basque (Oñati)
eus;Basque (Roncalese)
eus;Basque (Sakana)
eus;Basque (Zeberio)
cbd;Hianacoto
cbd;Umaua
nan;Chaozhou
nan;Hokkien
nan;Taiwanese
nan;Xiamen
cmn;Kunming
ciw;Chippewa (Red Lake and Pillager)
ojw;Ojibwe (Minnesota)
cld;Neo-Aramaic (Amadiya)
mus;Creek (Seminole)
csb;Slovincian
css;Mutsun
ctp;Chatino (Yaitepec)
daf;Dan (Blowo)
dih;Diegueño (Mesa Grande)
dih;Tiipay (Jamul)
ddj;Djaru
ddo;Tsez
kdx;Kam (Zhanglu)
dts;Dogoso
gcf;Guadeloupe Creole
gcf;Martinique Creole
duj;Dhuwal (Dätiwuy)
nld;Dutch (Brabantic)
nld;Dutch (Limburg)
deg;Degema
del;Unami
tvl;Tuvalu
der;Deori
des;Desano
iku;Inuktitut (Quebec-Labrador)
iku;Inuktitut (Salluit)
iku;Inuktitut (Rankin Inlet)
ikt;Kangiryuarmiut
kal;Greenlandic (East)
kal;Greenlandic (South)
ess;Yup’ik (Saint Lawrence Island)
esu;Yup'ik (Chevak)
esu;Yup'ik (Norton Sound)
shg;Deti
evn;Solon
ewe;Ewe (Anglo)
fub;Fulani (Gombe)
fuc;Fula (Mauritanian)
fuh;Ful (Liptako)
dga;
dgc;Dumagat (Casiguran)
deu;German (Berlin)
deu;German (Hannover)
deu;German (Mansfeldisch)
deu;German (Thuringian)
deu;German (Timisoara)
gle;Irish (Donegal)
gle;Irish (Munster)
gmo;Gamo
gmo;Kullo
ell;Greek (Cypriot)
gsw;Alsatian
gsw;German (Appenzell)
gsw;German (Bern)
gsw;German (Ostschweiz)
gsw;German (Thurgau)
gsw;German (Zurich)
guh;Sikuani
gux;Gurma (Togo)
sgw;Chaha
sgw;Muher
heb;Hebrew (Modern Ashenazic)
dak;
dhi;Dhimal
dhr;Dhargari
dhu;Dhurga
dic;Vata
did;Didinga
ega;Ega
dim;Dime
ind;Indonesian (Irianese)
ind;Indonesian (Jakarta)
din;Dinka
dis;Dimasa
ita;Italian (Fiorentino)
ivv;Ivatan (Southern)
diz;Ding
djd;Jaminjung
dje;Zarma
dji;Djinang
djk;Ndyuka
djr;Djambarrpuyngu
dju;Sare
xtc;Kadugli
xtc;Katcha
kir;Kirghiz (Fu-Yu)
kfy;Kumauni (Johari)
xal;Kalmyk
xal;Kalmyk (Issyk-Kul)
oia;Oirat
kld;Yuwaalaraay
kmz;Turkic (East-Central Xorasan)
kmz;Turkic (West Xorasan)
kzh;Nubian (Kunuz)
kon;Fiote
kpv;Yazva
dlg;Dolgan
lua;Bena-Lulua
dma;Duma
bhm;Bathari
mig;Mixtec (Molinos)
dmk;Dumaki
mly;Ketapang
mly;Malay (Kuala Lumpur)
mnk;Mandinka (Gambian)
mpj;Mantjiltjara
mpj;Yulparija
muw;Bhumij
nam;Ngan'gityemerri
nbj;Bilinara
ncb;Nancowry
ngc;Doko
nij;Oloh Mangtangai
nij;Pulopetak
niv;Nivkh (South Sakhalin)
nog;Noghay (Karagash)
nog;Tatar-Noghay (Alabugat)
nog;Tatar (Yurt)
noo;Kyuquot
noo;Nitinaht
dan;Danish
nst;Jugli
nst;Lungchang
dgo;Dogri
acf;Lesser Antillean French Creole
doo;Dongo
dua;Duala
dow;Doyayo
ood;Nevome
quh;Quechua (Cochabamba)
ras;Rashad
drd;Darmiya
roh;Romansch (Scharans)
roh;Romansch (Surmeiran)
roh;Romansch (Sursilvan)
drl;Paakantyi
rmn;Romani (Ajia Varvara)
rmn;Romani (Bugurdzi)
rmy;Romani (Kalderash)
rmy;Romani (Lovari)
dru;Rukai
ron;Moldavian
dry;Darai
dse;Sign Language Dutch
dsh;Dhaasanac
kth;Karanga
shh;Shoshone (Wind River)
shu;Arabic (Abbéché Chad)
shu;Arabic (Borno Nigerian)
spa;Spanish (Canary Islands)
bos;Bosnian
str;Lummi
str;Saanich
str;Salish (Samish Straits)
str;Songish
str;Sooke
suq;Chai
suq;Tirmaga
swe;Swedish (Västerbotten)
dta;Dagur
tam;Tamil (Spoken)
tew;Tewa (Rio Grande)
tew;Tewa (San Juan Pueblo)
thv;Tuareg (Air)
thv;Tuareg (Ghat)
jda;Jad
spt;Spitian
bod;Tibetan (Modern Literary)
bod;Tibetan (Shigatse)
tig;Tigré (Beni Amer)
tly;Talysh (Azerbaijan)
tly;Talysh (Southern)
tma;Miisiirii
tat;Tatar (Baraba)
tat;Tatar (Mishar)
tzh;Tzeltal (Aguacatenango)
tzh;Tzeltal (Tenejapa)
tzm;Berber (Ayt Seghrouchen Middle Atlas)
duc;Duna
dud;Duka
duf;Paita
dus;Dumi
nld;Dutch
ute;Chemehuevi
jct;Krymchak
wit;Patwin
ydd;Yiddish (Bessarabian)
ydd;Yiddish (Lithuanian)
ydd;Yiddish (Lodz)
dyi;Dyimini
yok;Wikchamni
yok;Yokuts (Yaudanchi)
dyu;Dyula
yuf;Havasupai
yuf;Hualapai
yuf;Yavapai
yul;Binga
dyy;Djabugay
zoc;Zoque (Ostuacan)
zul;Zulu (Northern)
zul;Zulu (Southern)
bin;Bini
eip;Eipo
eko;Ekoti
eky;Kayah Li (Eastern)
tvl;Tuvaluan
ema;Ora (Nigeria)
emb;Embaloh
emi;Mussau
ita;Italian (Bologna)
emp;Embera
enn;Engenni
eno;Enggano
enq;Enga
erg;Erromangan
ese;Ese Ejja
esk;Iñupiaq
esq;Esselen
est;Estonian
etr;Edolo
ets;Etsako
etu;Ejagham
ewo;Ewondo
faa;Fasu
fap;Palor
fcs;Sign Language Québec
fia;Nobiin
fla;Kalispel
fmp;Fe'fe'
fon;Fongbe
foi;Foe
for;Fore
fos;Siraiya
frd;Fordata
gcr;Guianese French Creole
fry;Frisian (Western)
frr;Frisian (North)
frs;Frisian (Eastern)
zrs;Mairasi
fse;Sign Language Finnish
fsl;Sign Language French
fuc;Fula (Senegal)
fud;Futuna (East)
fuf;Fula (Guinean)
fuh;Fula (Burkina Faso)
ffm;Fulfulde (Maasina)
fun;Yaté
fuu;Bagiro
fuv;Fula (Nigerian)
fwa;Po-Ai
gqa;Ga'anda
gaa;
gae;Warekena
gag;Gagauz
gah;Alekano
gaj;Gadsup
gax;Oromo (Boraana)
gaz;Oromo (West-Central)
bza;Bandi
gbd;Karadjeri
gbi;Galela
gbj;Gadaba
gby;Gwari
gcc;Mali
gde;Gude
gdf;Guduf
gdm;Laal
gdo;Godoberi
geb;Kire
ged;Gade
gey;Enya
gfk;Patpatar
gge;Gurr-goni
ggo;
kzh;Nubian (Hill)
ghs;Guhu-Samane
gia;Kitja
gid;Gidar
gin;Hinuq
gis;
guj;Gujarati
gju;Gojri
gkn;Gokana
dhg;Gaalpu
glj;Gula Iro
glk;Gilaki
glg;Galician
glu;Gula (Central African Republic)
gnn;Gumatj
gnr;Gureng Gureng
goa;Guro
gob;Playero
god;Godié
ggw;Gogodala
gol;Gola
cme;Kirma
gow;Gorowa
gor;Gorontalo
gru;Soddo
gsg;Sign Language German
